"Label (Grouping)","Population 5 years and over","Population 5 years and over!!Speak only English","Population 5 years and over!!Speak a language other than English","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Spanish!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other Indo-European languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Asian and Pacific Island languages!!65 years old and over","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!5 to 17 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!18 to 64 years old","Population 5 years and over!!SPEAK A LANGUAGE OTHER THAN ENGLISH!!Other languages!!65 years old and over","CITIZENS 18 YEARS AND OVER","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak only English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Spanish","CITIZENS 18 YEARS AND OVER!!All citizens 18 years old and over!!Speak a language other than English!!Other languages"
"            Margin of Error","±4.5","(X)","±6.8","","±6.6","±6.4","±10.8","±32.9","±26.6","**","±26.6","**","±18.4","**","±19.7","±87.2","**","**","**","**","","±2.7","(X)","±9.1","±10.1","±13.3"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,078","(X)","2,078","","2,078","181","1,816","81","0","0","0","0","0","0","0","0","0","0","0","0","","407","(X)","407","407","0"
"            Margin of Error","±776","(X)","±776","","±776","±141","±737","±91","±22","±22","±22","±22","±22","±22","±22","±22","±22","±22","±22","±22","","±239","(X)","±239","±239","±22"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","13.7%","(X)","34.8%","","37.0%","9.1%","54.2%","29.7%","0.0%","-","0.0%","-","0.0%","-","0.0%","0.0%","-","-","-","-","","4.9%","(X)","20.2%","23.9%","0.0%"
"            Margin of Error","±4.5","(X)","±6.8","","±6.6","±6.4","±10.8","±32.9","±26.6","**","±26.6","**","±18.4","**","±19.7","±87.2","**","**","**","**","","±2.7","(X)","±9.1","±10.1","±13.3"
"ZCTA5 78613","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","78,605","62,400","16,205","","8,520","1,748","6,158","614","2,592","376","2,015","201","4,688","801","3,709","178","405","118","263","24","","55,271","47,174","8,097","4,531","3,566"
"        Margin of Error","±1,608","±2,241","±1,683","","±1,402","±457","±1,130","±205","±595","±152","±492","±152","±1,003","±383","±734","±95","±245","±113","±160","±39","","±1,937","±1,981","±1,024","±838","±678"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","79.4%","20.6%","","10.8%","2.2%","7.8%","0.8%","3.3%","0.5%","2.6%","0.3%","6.0%","1.0%","4.7%","0.2%","0.5%","0.2%","0.3%","0.0%","","(X)","85.4%","14.6%","8.2%","6.5%"
"        Margin of Error","(X)","±2.2","±2.2","","±1.8","±0.6","±1.4","±0.3","±0.8","±0.2","±0.6","±0.2","±1.3","±0.5","±0.9","±0.1","±0.3","±0.1","±0.2","±0.1","","(X)","±1.8","±1.8","±1.5","±1.2"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","73,734","(X)","11,334","","5,749","1,217","4,188","344","2,200","316","1,735","149","3,079","518","2,473","88","306","118","188","0","","53,931","(X)","6,757","3,897","2,860"
"            Margin of Error","±1,842","(X)","±1,308","","±986","±345","±853","±132","±563","±139","±460","±143","±716","±220","±561","±74","±186","±113","±108","±33","","±1,951","(X)","±958","±811","±610"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","93.8%","(X)","69.9%","","67.5%","69.6%","68.0%","56.0%","84.9%","84.0%","86.1%","74.1%","65.7%","64.7%","66.7%","49.4%","75.6%","100.0%","71.5%","0.0%","","97.6%","(X)","83.5%","86.0%","80.2%"
"            Margin of Error","±1.2","(X)","±4.5","","±6.3","±13.5","±7.0","±19.7","±6.7","±17.5","±6.2","±27.7","±8.2","±25.1","±7.7","±28.5","±13.2","±30.7","±19.1","±71.2","","±0.6","(X)","±3.6","±4.7","±6.2"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4,871","(X)","4,871","","2,771","531","1,970","270","392","60","280","52","1,609","283","1,236","90","99","0","75","24","","1,340","(X)","1,340","634","706"
"            Margin of Error","±941","(X)","±941","","±761","±299","±577","±171","±181","±72","±134","±46","±549","±296","±380","±58","±86","±33","±79","±39","","±306","(X)","±306","±209","±240"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","6.2%","(X)","30.1%","","32.5%","30.4%","32.0%","44.0%","15.1%","16.0%","13.9%","25.9%","34.3%","35.3%","33.3%","50.6%","24.4%","0.0%","28.5%","100.0%","","2.4%","(X)","16.5%","14.0%","19.8%"
"            Margin of Error","±1.2","(X)","±4.5","","±6.3","±13.5","±7.0","±19.7","±6.7","±17.5","±6.2","±27.7","±8.2","±25.1","±7.7","±28.5","±13.2","±30.7","±19.1","±71.2","","±0.6","(X)","±3.6","±4.7","±6.2"
"ZCTA5 78615","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,237","965","272","","265","116","130","19","7","2","0","5","0","0","0","0","0","0","0","0","","820","705","115","110","5"
"        Margin of Error","±418","±310","±240","","±240","±119","±128","±21","±7","±3","±14","±6","±14","±14","±14","±14","±14","±14","±14","±14","","±248","±225","±78","±78","±6"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","78.0%","22.0%","","21.4%","9.4%","10.5%","1.5%","0.6%","0.2%","0.0%","0.4%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","","(X)","86.0%","14.0%","13.4%","0.6%"
"        Margin of Error","(X)","±15.4","±15.4","","±15.4","±8.1","±8.4","±1.7","±0.6","±0.3","±3.6","±0.5","±3.6","±3.6","±3.6","±3.6","±3.6","±3.6","±3.6","±3.6","","(X)","±8.5","±8.5","±8.5","±0.8"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","1,150","(X)","185","","182","79","84","19","3","2","0","1","0","0","0","0","0","0","0","0","","809","(X)","104","103","1"
"            Margin of Error","±360","(X)","±135","","±136","±73","±69","±21","±4","±3","±14","±4","±14","±14","±14","±14","±14","±14","±14","±14","","±245","(X)","±75","±75","±4"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","93.0%","(X)","68.0%","","68.7%","68.1%","64.6%","100.0%","42.9%","100.0%","-","20.0%","-","-","-","-","-","-","-","-","","98.7%","(X)","90.4%","93.6%","20.0%"
"            Margin of Error","±8.6","(X)","±23.6","","±24.4","±27.7","±24.6","±80.1","±57.1","±100.0","**","±80.0","**","**","**","**","**","**","**","**","","±1.4","(X)","±10.5","±9.9","±80.0"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","87","(X)","87","","83","37","46","0","4","0","0","4","0","0","0","0","0","0","0","0","","11","(X)","11","7","4"
"            Margin of Error","±120","(X)","±120","","±120","±57","±67","±14","±6","±14","±14","±6","±14","±14","±14","±14","±14","±14","±14","±14","","±12","(X)","±12","±10","±6"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","7.0%","(X)","32.0%","","31.3%","31.9%","35.4%","0.0%","57.1%","0.0%","-","80.0%","-","-","-","-","-","-","-","-","","1.3%","(X)","9.6%","6.4%","80.0%"
"            Margin of Error","±8.6","(X)","±23.6","","±24.4","±27.7","±24.6","±80.1","±57.1","±100.0","**","±80.0","**","**","**","**","**","**","**","**","","±1.4","(X)","±10.5","±9.9","±80.0"
"ZCTA5 78617","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,411","10,669","15,742","","15,393","3,538","11,405","450","61","19","42","0","251","0","243","8","37","0","37","0","","16,549","8,285","8,264","8,020","244"
"        Margin of Error","±2,211","±1,455","±2,098","","±2,074","±724","±1,812","±211","±85","±41","±47","±26","±261","±26","±266","±17","±42","±26","±42","±26","","±1,913","±1,346","±1,724","±1,711","±222"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","40.4%","59.6%","","58.3%","13.4%","43.2%","1.7%","0.2%","0.1%","0.2%","0.0%","1.0%","0.0%","0.9%","0.0%","0.1%","0.0%","0.1%","0.0%","","(X)","50.1%","49.9%","48.5%","1.5%"
"        Margin of Error","(X)","±5.2","±5.2","","±5.1","±2.5","±5.0","±0.8","±0.3","±0.2","±0.2","±0.2","±1.0","±0.2","±1.0","±0.1","±0.2","±0.2","±0.2","±0.2","","(X)","±7.4","±7.4","±7.3","±1.4"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","21,254","(X)","10,585","","10,405","3,092","7,086","227","44","19","25","0","121","0","121","0","15","0","15","0","","14,858","(X)","6,573","6,419","154"
"            Margin of Error","±1,891","(X)","±1,524","","±1,516","±664","±1,248","±138","±84","±41","±44","±26","±151","±26","±151","±26","±19","±26","±19","±26","","±1,611","(X)","±1,221","±1,212","±165"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","80.5%","(X)","67.2%","","67.6%","87.4%","62.1%","50.4%","72.1%","100.0%","59.5%","-","48.2%","-","49.8%","0.0%","40.5%","-","40.5%","-","","89.8%","(X)","79.5%","80.0%","63.1%"
"            Margin of Error","±3.5","(X)","±4.7","","±4.8","±4.8","±5.7","±22.1","±72.1","±80.1","±59.5","**","±18.7","**","±16.3","±100.0","±57.5","**","±57.5","**","","±4.4","(X)","±7.2","±7.5","±20.8"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","5,157","(X)","5,157","","4,988","446","4,319","223","17","0","17","0","130","0","122","8","22","0","22","0","","1,691","(X)","1,691","1,601","90"
"            Margin of Error","±1,060","(X)","±1,060","","±1,055","±189","±991","±149","±22","±26","±22","±26","±115","±26","±119","±17","±37","±26","±37","±26","","±813","(X)","±813","±810","±70"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","19.5%","(X)","32.8%","","32.4%","12.6%","37.9%","49.6%","27.9%","0.0%","40.5%","-","51.8%","-","50.2%","100.0%","59.5%","-","59.5%","-","","10.2%","(X)","20.5%","20.0%","36.9%"
"            Margin of Error","±3.5","(X)","±4.7","","±4.8","±4.8","±5.7","±22.1","±72.1","±80.1","±59.5","**","±18.7","**","±16.3","±100.0","±57.5","**","±57.5","**","","±4.4","(X)","±7.2","±7.5","±20.8"
"ZCTA5 78620","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,415","14,943","2,472","","2,118","367","1,625","126","215","55","123","37","125","0","119","6","14","0","0","14","","13,063","11,786","1,277","1,084","193"
"        Margin of Error","±1,387","±1,243","±754","","±738","±217","±532","±89","±142","±55","±86","±42","±91","±22","±89","±10","±23","±22","±22","±23","","±943","±881","±343","±329","±113"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","85.8%","14.2%","","12.2%","2.1%","9.3%","0.7%","1.2%","0.3%","0.7%","0.2%","0.7%","0.0%","0.7%","0.0%","0.1%","0.0%","0.0%","0.1%","","(X)","90.2%","9.8%","8.3%","1.5%"
"        Margin of Error","(X)","±4.0","±4.0","","±3.9","±1.2","±2.8","±0.5","±0.8","±0.3","±0.5","±0.2","±0.5","±0.3","±0.5","±0.1","±0.1","±0.3","±0.3","±0.1","","(X)","±2.5","±2.5","±2.4","±0.9"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16,693","(X)","1,750","","1,443","330","1,003","110","187","55","108","24","120","0","114","6","0","0","0","0","","12,811","(X)","1,025","874","151"
"            Margin of Error","±1,336","(X)","±625","","±602","±203","±409","±86","±128","±55","±83","±37","±89","±22","±88","±10","±22","±22","±22","±22","","±961","(X)","±360","±346","±95"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","95.9%","(X)","70.8%","","68.1%","89.9%","61.7%","87.3%","87.0%","100.0%","87.8%","64.9%","96.0%","-","95.8%","100.0%","0.0%","-","-","0.0%","","98.1%","(X)","80.3%","80.6%","78.2%"
"            Margin of Error","±1.6","(X)","±9.6","","±11.0","±16.2","±12.5","±17.4","±12.4","±47.1","±20.0","±54.3","±9.3","**","±10.3","±100.0","±93.3","**","**","±93.3","","±1.1","(X)","±12.0","±13.6","±17.0"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","722","(X)","722","","675","37","622","16","28","0","15","13","5","0","5","0","14","0","0","14","","252","(X)","252","210","42"
"            Margin of Error","±282","(X)","±282","","±280","±60","±260","±18","±31","±22","±22","±22","±10","±22","±10","±22","±23","±22","±22","±23","","±140","(X)","±140","±135","±40"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4.1%","(X)","29.2%","","31.9%","10.1%","38.3%","12.7%","13.0%","0.0%","12.2%","35.1%","4.0%","-","4.2%","0.0%","100.0%","-","-","100.0%","","1.9%","(X)","19.7%","19.4%","21.8%"
"            Margin of Error","±1.6","(X)","±9.6","","±11.0","±16.2","±12.5","±17.4","±12.4","±47.1","±20.0","±54.3","±9.3","**","±10.3","±100.0","±93.3","**","**","±93.3","","±1.1","(X)","±12.0","±13.6","±17.0"
"ZCTA5 78621","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,157","15,559","7,598","","7,135","1,860","4,615","660","359","0","173","186","51","0","37","14","53","0","52","1","","15,662","12,218","3,444","3,023","421"
"        Margin of Error","±1,680","±1,050","±1,567","","±1,532","±627","±1,008","±278","±248","±26","±110","±177","±43","±26","±37","±14","±52","±26","±53","±2","","±1,065","±909","±651","±594","±288"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","67.2%","32.8%","","30.8%","8.0%","19.9%","2.9%","1.6%","0.0%","0.7%","0.8%","0.2%","0.0%","0.2%","0.1%","0.2%","0.0%","0.2%","0.0%","","(X)","78.0%","22.0%","19.3%","2.7%"
"        Margin of Error","(X)","±5.1","±5.1","","±5.2","±2.4","±3.6","±1.2","±1.1","±0.2","±0.5","±0.8","±0.2","±0.2","±0.2","±0.1","±0.2","±0.2","±0.2","±0.1","","(X)","±3.6","±3.6","±3.4","±1.8"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","20,136","(X)","4,577","","4,211","1,580","2,452","179","348","0","162","186","17","0","16","1","1","0","0","1","","14,657","(X)","2,439","2,088","351"
"            Margin of Error","±1,376","(X)","±1,027","","±981","±621","±533","±152","±251","±26","±114","±177","±24","±26","±25","±2","±2","±26","±26","±2","","±1,054","(X)","±539","±465","±245"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","87.0%","(X)","60.2%","","59.0%","84.9%","53.1%","27.1%","96.9%","-","93.6%","100.0%","33.3%","-","43.2%","7.1%","1.9%","-","0.0%","100.0%","","93.6%","(X)","70.8%","69.1%","83.4%"
"            Margin of Error","±3.0","(X)","±6.3","","±6.5","±9.2","±8.0","±25.9","±7.2","**","±14.2","±21.3","±29.3","**","±36.1","±18.0","±5.8","**","±48.4","±100.0","","±2.2","(X)","±8.4","±9.3","±8.3"
"        Speak English  less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3,021","(X)","3,021","","2,924","280","2,163","481","11","0","11","0","34","0","21","13","52","0","52","0","","1,005","(X)","1,005","935","70"
"            Margin of Error","±810","(X)","±810","","±813","±160","±695","±297","±21","±26","±21","±26","±25","±26","±19","±15","±53","±26","±53","±26","","±351","(X)","±351","±356","±55"
"        Percent speak English less than ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","13.0%","(X)","39.8%","","41.0%","15.1%","46.9%","72.9%","3.1%","-","6.4%","0.0%","66.7%","-","56.8%","92.9%","98.1%","-","100.0%","0.0%","","6.4%","(X)","29.2%","30.9%","16.6%"
"            Margin of Error","±3.0","(X)","±6.3","","±6.5","±9.2","±8.0","±25.9","±7.2","**","±14.2","±21.3","±29.3","**","±36.1","±18.0","±5.8","**","±48.4","±100.0","","±2.2","(X)","±8.4","±9.3","±8.3"
"ZCTA5 78634","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,841","26,320","8,521","","6,844","1,045","5,494","305","713","104","393","216","527","18","439","70","437","19","400","18","","25,765","20,102","5,663","4,570","1,093"
"        Margin of Error","±1,398","±1,680","±1,367","","±1,167","±333","±1,136","±136","±457","±113","±234","±338","±326","±30","±298","±88","±372","±27","±364","±28","","±1,478","±1,458","±1,121","±917","±536"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","75.5%","24.5%","","19.6%","3.0%","15.8%","0.9%","2.0%","0.3%","1.1%","0.6%","1.5%","0.1%","1.3%","0.2%","1.3%","0.1%","1.1%","0.1%","","(X)","78.0%","22.0%","17.7%","4.2%"
"        Margin of Error","(X)","±3.8","±3.8","","±3.2","±1.0","±3.1","±0.4","±1.3","±0.3","±0.7","±1.0","±0.9","±0.1","±0.9","±0.3","±1.1","±0.1","±1.1","±0.1","","(X)","±4.0","±4.0","±3.3","±2.1"
"    Percent of specified language speakers","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","32,516","(X)","6,196","","4,782","988","3,686","108","708","104","388","216","287","18","258","11","419","19","382","18","","24,477","(X)","4,375","3,459","916"
"            Margin of Error","±1,434","(X)","±1,108","","±820","±325","±834","±90","±457","±113","±233","±338","±238","±30","±227","±18","±370","±27","±366","±28","","±1,479","(X)","±1,010","±799","±494"
"        Percent speak English only or speak English ""very well""","","","","","","","","","","","","","","","","","","","","","","","","","",""
