"Label (Grouping)","Population 3 years and over enrolled in school","Population 3 years and over enrolled in school!!Nursery school, preschool","Population 3 years and over enrolled in school!!Kindergarten to 12th grade","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8","Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12","Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school","Population enrolled in college or graduate school","Population enrolled in college or graduate school!!Males enrolled in college or graduate school","Population enrolled in college or graduate school!!Females enrolled in college or graduate school","Population 3 to 4 years","Population 3 to 4 years!!3 to 4 year olds enrolled in school","Population 5 to 9 years","Population 5 to 9 years!!5 to 9 year olds enrolled in school","Population 10 to 14 years","Population 10 to 14 years!!10 to 14 year olds enrolled in school","Population 15 to 17","Population 15 to 17!!15 to 17 year olds enrolled in school","Population 18 to 19 years","Population 18 to 19 years!!18 and 19 year olds enrolled in school","Population 20 to 24 years","Population 20 to 24 years!!20 to 24 year olds enrolled in school","Population 25 to 34 years","Population 25 to 34 years!!25 to 34 year olds enrolled in school","Population 35 years and over","Population 35 years and over!!35 years and over enrolled in school","Population 18 to 24 years","Population 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Males 18 to 24 years","Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school","Population 18 to 24 years!!Females 18 to 24 years","Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","82.4%","59.2%","87.8%","100.0%","90.4%","88.1%","85.1%","76.0%","11.8%","62.4%","59.2%","63.8%","(X)","60.1%","(X)","88.0%","(X)","85.6%","(X)","86.3%","(X)","100.0%","(X)","36.5%","(X)","57.2%","(X)","100.0%","(X)","61.8%","(X)","0.0%","(X)","79.7%"
"        Margin of Error","±7.1","±31.8","±8.0","±30.5","±7.4","±9.4","±10.5","±16.0","±26.3","±16.3","±35.6","±22.5","(X)","±47.4","(X)","±8.2","(X)","±10.7","(X)","±11.1","(X)","±12.2","(X)","±38.4","(X)","±27.0","(X)","±36.2","(X)","±25.3","(X)","±36.7","(X)","±26.1"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","122","574","0","111","193","270","174","172","346","111","235","(X)","61","(X)","147","(X)","327","(X)","161","(X)","0","(X)","153","(X)","193","(X)","0","(X)","153","(X)","90","(X)","63"
"        Margin of Error","(X)","±118","±376","±22","±84","±154","±188","±163","±153","±229","±146","±182","(X)","±83","(X)","±115","(X)","±258","(X)","±127","(X)","±22","(X)","±159","(X)","±160","(X)","±22","(X)","±159","(X)","±143","(X)","±84"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17.6%","40.8%","12.2%","0.0%","9.6%","11.9%","14.9%","24.0%","88.2%","37.6%","40.8%","36.2%","(X)","39.9%","(X)","12.0%","(X)","14.4%","(X)","13.7%","(X)","0.0%","(X)","63.5%","(X)","42.8%","(X)","0.0%","(X)","38.3%","(X)","100.0%","(X)","20.3%"
"        Margin of Error","±7.1","±31.8","±8.0","±30.5","±7.4","±9.4","±10.5","±16.0","±26.3","±16.3","±35.6","±22.5","(X)","±47.4","(X)","±8.2","(X)","±10.7","(X)","±11.1","(X)","±12.2","(X)","±38.4","(X)","±27.0","(X)","±36.2","(X)","±25.3","(X)","±36.7","(X)","±26.1"
"ZCTA5 78613","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,882","1,480","18,045","1,227","4,936","6,013","5,869","3,148","1,209","4,357","1,646","2,711","1,978","1,188","5,972","5,756","7,681","7,429","4,047","3,981","1,703","1,429","3,969","1,806","12,489","1,304","42,744","989","5,672","2,062","2,694","794","2,978","1,268"
"        Margin of Error","±1,148","±356","±1,090","±357","±555","±663","±632","±550","±387","±680","±321","±566","±376","±332","±612","±592","±816","±716","±535","±535","±318","±273","±873","±689","±1,145","±426","±1,341","±277","±841","±461","±535","±233","±539","±420"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.2%","75.6%","5.1%","20.7%","25.2%","24.6%","13.2%","5.1%","18.2%","13.7%","22.8%","(X)","60.1%","(X)","96.4%","(X)","96.7%","(X)","98.4%","(X)","83.9%","(X)","45.5%","(X)","10.4%","(X)","2.3%","(X)","36.4%","(X)","29.5%","(X)","42.6%"
"        Margin of Error","(X)","±1.5","±2.7","±1.5","±2.1","±2.5","±2.2","±2.1","±1.6","±2.6","±2.5","±4.3","(X)","±9.1","(X)","±2.0","(X)","±3.2","(X)","±2.1","(X)","±6.9","(X)","±11.4","(X)","±3.4","(X)","±0.6","(X)","±6.2","(X)","±8.7","(X)","±10.0"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","513","16,329","1,036","4,542","5,428","5,323","2,382","704","3,086","1,250","1,836","(X)","440","(X)","5,000","(X)","6,728","(X)","3,585","(X)","1,269","(X)","1,302","(X)","971","(X)","633","(X)","1,480","(X)","651","(X)","829"
"        Margin of Error","(X)","±220","±1,050","±340","±540","±590","±614","±422","±284","±537","±256","±408","(X)","±218","(X)","±548","(X)","±683","(X)","±503","(X)","±257","(X)","±390","(X)","±360","(X)","±239","(X)","±298","(X)","±199","(X)","±200"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.4%","34.7%","90.5%","84.4%","92.0%","90.3%","90.7%","75.7%","58.2%","70.8%","75.9%","67.7%","(X)","37.0%","(X)","86.9%","(X)","90.6%","(X)","90.1%","(X)","88.8%","(X)","72.1%","(X)","74.5%","(X)","64.0%","(X)","71.8%","(X)","82.0%","(X)","65.4%"
"        Margin of Error","±2.7","±11.9","±2.3","±7.1","±3.5","±3.9","±3.4","±10.7","±16.6","±9.1","±7.8","±13.1","(X)","±14.2","(X)","±4.0","(X)","±3.5","(X)","±4.1","(X)","±5.6","(X)","±14.0","(X)","±15.1","(X)","±16.3","(X)","±15.0","(X)","±11.9","(X)","±21.3"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","967","1,716","191","394","585","546","766","505","1,271","396","875","(X)","748","(X)","756","(X)","701","(X)","396","(X)","160","(X)","504","(X)","333","(X)","356","(X)","582","(X)","143","(X)","439"
"        Margin of Error","(X)","±285","±435","±87","±180","±257","±203","±407","±268","±487","±162","±455","(X)","±257","(X)","±251","(X)","±274","(X)","±173","(X)","±85","(X)","±390","(X)","±232","(X)","±190","(X)","±392","(X)","±109","(X)","±377"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.6%","65.3%","9.5%","15.6%","8.0%","9.7%","9.3%","24.3%","41.8%","29.2%","24.1%","32.3%","(X)","63.0%","(X)","13.1%","(X)","9.4%","(X)","9.9%","(X)","11.2%","(X)","27.9%","(X)","25.5%","(X)","36.0%","(X)","28.2%","(X)","18.0%","(X)","34.6%"
"        Margin of Error","±2.7","±11.9","±2.3","±7.1","±3.5","±3.9","±3.4","±10.7","±16.6","±9.1","±7.8","±13.1","(X)","±14.2","(X)","±4.0","(X)","±3.5","(X)","±4.1","(X)","±5.6","(X)","±14.0","(X)","±15.1","(X)","±16.3","(X)","±15.0","(X)","±11.9","(X)","±21.3"
"ZCTA5 78615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","416","36","347","40","136","150","21","30","3","33","2","31","55","36","142","142","192","192","36","12","37","1","55","7","211","24","564","2","92","7","36","2","56","5"
"        Margin of Error","±238","±55","±181","±39","±79","±103","±17","±40","±4","±41","±3","±41","±62","±55","±88","±88","±113","±113","±41","±12","±60","±4","±60","±9","±172","±39","±143","±3","±84","±9","±49","±3","±64","±9"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.7%","83.4%","9.6%","32.7%","36.1%","5.0%","7.2%","0.7%","7.9%","1.1%","13.0%","(X)","65.5%","(X)","100.0%","(X)","100.0%","(X)","33.3%","(X)","2.7%","(X)","12.7%","(X)","11.4%","(X)","0.4%","(X)","7.6%","(X)","5.6%","(X)","8.9%"
"        Margin of Error","(X)","±9.7","±9.3","±9.2","±7.7","±11.6","±5.4","±8.6","±1.1","±8.7","±2.0","±16.7","(X)","±52.6","(X)","±26.6","(X)","±20.7","(X)","±56.0","(X)","±22.0","(X)","±21.3","(X)","±15.0","(X)","±0.6","(X)","±12.2","(X)","±11.8","(X)","±23.2"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","36","347","40","136","150","21","28","1","29","2","27","(X)","36","(X)","142","(X)","192","(X)","12","(X)","1","(X)","7","(X)","22","(X)","0","(X)","7","(X)","2","(X)","5"
"        Margin of Error","(X)","±55","±181","±39","±79","±103","±17","±40","±2","±40","±3","±40","(X)","±55","(X)","±88","(X)","±113","(X)","±12","(X)","±4","(X)","±9","(X)","±39","(X)","±14","(X)","±9","(X)","±3","(X)","±9"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","99.0%","100.0%","100.0%","100.0%","100.0%","100.0%","100.0%","93.3%","33.3%","87.9%","100.0%","87.1%","(X)","100.0%","(X)","100.0%","(X)","100.0%","(X)","100.0%","(X)","100.0%","(X)","100.0%","(X)","91.7%","(X)","0.0%","(X)","100.0%","(X)","100.0%","(X)","100.0%"
"        Margin of Error","±1.3","±58.2","±12.1","±55.2","±27.5","±25.5","±76.1","±16.5","±66.7","±21.5","±100.0","±25.1","(X)","±58.2","(X)","±26.6","(X)","±20.7","(X)","±100.0","(X)","±100.0","(X)","±100.0","(X)","±26.7","(X)","±100.0","(X)","±100.0","(X)","±100.0","(X)","±100.0"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","0","0","0","0","0","0","2","2","4","0","4","(X)","0","(X)","0","(X)","0","(X)","0","(X)","0","(X)","0","(X)","2","(X)","2","(X)","0","(X)","0","(X)","0"
"        Margin of Error","(X)","±14","±14","±14","±14","±14","±14","±3","±4","±5","±14","±5","(X)","±14","(X)","±14","(X)","±14","(X)","±14","(X)","±14","(X)","±14","(X)","±4","(X)","±3","(X)","±14","(X)","±14","(X)","±14"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","6.7%","66.7%","12.1%","0.0%","12.9%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%","(X)","8.3%","(X)","100.0%","(X)","0.0%","(X)","0.0%","(X)","0.0%"
"        Margin of Error","±1.3","±58.2","±12.1","±55.2","±27.5","±25.5","±76.1","±16.5","±66.7","±21.5","±100.0","±25.1","(X)","±58.2","(X)","±26.6","(X)","±20.7","(X)","±100.0","(X)","±100.0","(X)","±100.0","(X)","±26.7","(X)","±100.0","(X)","±100.0","(X)","±100.0","(X)","±100.0"
"ZCTA5 78617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,834","611","6,066","329","1,533","1,856","2,348","1,102","55","1,157","459","698","1,205","558","1,596","1,584","2,298","2,298","1,917","1,882","978","442","2,490","524","4,479","175","12,653","371","3,468","633","2,265","261","1,203","372"
"        Margin of Error","±1,043","±296","±884","±147","±337","±418","±479","±345","±53","±358","±162","±263","±395","±269","±371","±370","±460","±460","±425","±417","±249","±223","±684","±207","±945","±125","±1,381","±158","±762","±220","±625","±143","±333","±169"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","7.8%","77.4%","4.2%","19.6%","23.7%","30.0%","14.1%","0.7%","14.8%","12.7%","16.6%","(X)","46.3%","(X)","99.2%","(X)","100.0%","(X)","98.2%","(X)","45.2%","(X)","21.0%","(X)","3.9%","(X)","2.9%","(X)","18.3%","(X)","11.5%","(X)","30.9%"
"        Margin of Error","(X)","±3.6","±5.0","±1.8","±3.9","±3.9","±4.5","±3.9","±0.7","±4.1","±4.2","±6.0","(X)","±18.4","(X)","±1.2","(X)","±1.9","(X)","±1.8","(X)","±17.3","(X)","±8.9","(X)","±2.8","(X)","±1.3","(X)","±6.8","(X)","±6.7","(X)","±14.1"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","551","5,757","218","1,438","1,800","2,301","954","30","984","326","658","(X)","438","(X)","1,438","(X)","2,230","(X)","1,854","(X)","429","(X)","400","(X)","153","(X)","350","(X)","503","(X)","171","(X)","332"
"        Margin of Error","(X)","±298","±859","±90","±330","±419","±474","±338","±40","±344","±140","±256","(X)","±253","(X)","±363","(X)","±458","(X)","±421","(X)","±221","(X)","±188","(X)","±115","(X)","±153","(X)","±205","(X)","±115","(X)","±154"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","93.1%","90.2%","94.9%","66.3%","93.8%","97.0%","98.0%","86.6%","54.5%","85.0%","71.0%","94.3%","(X)","78.5%","(X)","90.8%","(X)","97.0%","(X)","98.5%","(X)","97.1%","(X)","76.3%","(X)","87.4%","(X)","94.3%","(X)","79.5%","(X)","65.5%","(X)","89.2%"
"        Margin of Error","±2.7","±9.9","±2.6","±23.7","±4.6","±3.1","±2.1","±8.7","±54.5","±8.4","±17.5","±6.5","(X)","±18.1","(X)","±6.3","(X)","±2.7","(X)","±2.0","(X)","±5.4","(X)","±15.8","(X)","±22.1","(X)","±9.8","(X)","±12.9","(X)","±26.7","(X)","±11.2"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","60","309","111","95","56","47","148","25","173","133","40","(X)","120","(X)","146","(X)","68","(X)","28","(X)","13","(X)","124","(X)","22","(X)","21","(X)","130","(X)","90","(X)","40"
"        Margin of Error","(X)","±52","±164","±110","±71","±56","±49","±93","±39","±96","±93","±45","(X)","±102","(X)","±101","(X)","±62","(X)","±35","(X)","±24","(X)","±89","(X)","±39","(X)","±38","(X)","±87","(X)","±83","(X)","±45"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6.9%","9.8%","5.1%","33.7%","6.2%","3.0%","2.0%","13.4%","45.5%","15.0%","29.0%","5.7%","(X)","21.5%","(X)","9.2%","(X)","3.0%","(X)","1.5%","(X)","2.9%","(X)","23.7%","(X)","12.6%","(X)","5.7%","(X)","20.5%","(X)","34.5%","(X)","10.8%"
"        Margin of Error","±2.7","±9.9","±2.6","±23.7","±4.6","±3.1","±2.1","±8.7","±54.5","±8.4","±17.5","±6.5","(X)","±18.1","(X)","±6.3","(X)","±2.7","(X)","±2.0","(X)","±5.4","(X)","±15.8","(X)","±22.1","(X)","±9.8","(X)","±12.9","(X)","±26.7","(X)","±11.2"
"ZCTA5 78620","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,692","281","3,567","308","948","910","1,401","755","89","844","526","318","426","249","1,100","999","1,313","1,292","1,025","1,025","546","432","1,097","467","1,052","76","11,282","152","1,643","621","1,176","400","467","221"
"        Margin of Error","±733","±94","±487","±161","±229","±259","±353","±300","±85","±311","±256","±175","±160","±91","±264","±227","±287","±290","±294","±294","±190","±170","±410","±273","±269","±78","±853","±84","±427","±301","±388","±241","±190","±159"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","6.0%","76.0%","6.6%","20.2%","19.4%","29.9%","16.1%","1.9%","18.0%","19.5%","16.0%","(X)","58.5%","(X)","90.8%","(X)","98.4%","(X)","100.0%","(X)","79.1%","(X)","42.6%","(X)","7.2%","(X)","1.3%","(X)","37.8%","(X)","34.0%","(X)","47.3%"
"        Margin of Error","(X)","±1.9","±4.6","±3.4","±5.6","±4.7","±5.2","±4.6","±1.8","±4.6","±7.3","±6.5","(X)","±16.0","(X)","±7.6","(X)","±2.6","(X)","±4.3","(X)","±16.0","(X)","±18.8","(X)","±6.8","(X)","±0.8","(X)","±13.8","(X)","±16.0","(X)","±22.1"
"    In public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","142","3,009","251","741","701","1,316","701","53","754","444","310","(X)","120","(X)","773","(X)","1,035","(X)","940","(X)","417","(X)","446","(X)","30","(X)","144","(X)","585","(X)","364","(X)","221"
"        Margin of Error","(X)","±77","±429","±155","±218","±192","±348","±305","±49","±309","±243","±179","(X)","±71","(X)","±217","(X)","±248","(X)","±292","(X)","±169","(X)","±272","(X)","±34","(X)","±86","(X)","±301","(X)","±236","(X)","±159"
"    Percent in public school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","83.2%","50.5%","84.4%","81.5%","78.2%","77.0%","93.9%","92.8%","59.6%","89.3%","84.4%","97.5%","(X)","48.2%","(X)","77.4%","(X)","80.1%","(X)","91.7%","(X)","96.5%","(X)","95.5%","(X)","39.5%","(X)","94.7%","(X)","94.2%","(X)","91.0%","(X)","100.0%"
"        Margin of Error","±5.2","±21.8","±6.4","±20.8","±11.6","±14.0","±5.1","±6.3","±48.3","±9.9","±14.9","±4.3","(X)","±23.1","(X)","±11.4","(X)","±10.6","(X)","±7.2","(X)","±5.5","(X)","±5.7","(X)","±47.2","(X)","±8.8","(X)","±6.0","(X)","±9.7","(X)","±18.3"
"    In private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","139","558","57","207","209","85","54","36","90","82","8","(X)","129","(X)","226","(X)","257","(X)","85","(X)","15","(X)","21","(X)","46","(X)","8","(X)","36","(X)","36","(X)","0"
"        Margin of Error","(X)","±80","±253","±64","±114","±157","±70","±41","±69","±80","±78","±12","(X)","±79","(X)","±119","(X)","±157","(X)","±70","(X)","±24","(X)","±24","(X)","±72","(X)","±12","(X)","±33","(X)","±33","(X)","±22"
"    Percent in private school","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16.8%","49.5%","15.6%","18.5%","21.8%","23.0%","6.1%","7.2%","40.4%","10.7%","15.6%","2.5%","(X)","51.8%","(X)","22.6%","(X)","19.9%","(X)","8.3%","(X)","3.5%","(X)","4.5%","(X)","60.5%","(X)","5.3%","(X)","5.8%","(X)","9.0%","(X)","0.0%"
"        Margin of Error","±5.2","±21.8","±6.4","±20.8","±11.6","±14.0","±5.1","±6.3","±48.3","±9.9","±14.9","±4.3","(X)","±23.1","(X)","±11.4","(X)","±10.6","(X)","±7.2","(X)","±5.5","(X)","±5.7","(X)","±47.2","(X)","±8.8","(X)","±6.0","(X)","±9.7","(X)","±18.3"
"ZCTA5 78621","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,157","314","5,035","318","1,448","1,715","1,554","569","239","808","493","315","665","314","1,838","1,467","2,145","2,145","1,068","1,050","331","193","1,368","463","2,942","268","13,465","257","1,699","359","1,028","173","671","186"
"        Margin of Error","±742","±146","±761","±128","±368","±532","±364","±259","±274","±344","±338","±184","±223","±146","±370","±328","±554","±554","±214","±219","±172","±130","±389","±238","±565","±275","±968","±170","±414","±246","±267","±191","±268","±166"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
