"Label (Grouping)","Families","Families!!With related children of householder under 18 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years","Families!!With related children of householder under 18 years!!With related children of householder under 5 years and 5 to 17 years","Families!!With related children of householder under 18 years!!With related children of householder 5 to 17  years","Families!!RACE AND HISPANIC OR LATINO ORIGIN","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Black or African American alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!American Indian and Alaska Native alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Asian alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Native Hawaiian and Other Pacific Islander alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Some other race alone","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Two or more races","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!Hispanic or Latino origin (of any race)","Families!!RACE AND HISPANIC OR LATINO ORIGIN!!Families with a householder who is--!!White alone, not Hispanic or Latino","Families!!Householder worked","Families!!Householder worked!!Householder worked full-time, year-round in the past 12 months","Families!!Householder 65 years and over","Families!!Family received --","Families!!Family received --!!Supplemental Security Income (SSI) and/or cash public assistance income in the past 12 months","Families!!Family received --!!Social security income in the past 12 months","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Less than high school graduate","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!High school graduate (includes equivalency)","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Some college, associate's degree","Families!!EDUCATIONAL ATTAINMENT OF HOUSEHOLDER!!Bachelor's degree or higher","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No child","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 children","Families!!NUMBER OF RELATED CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more children","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!No own child of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!1 or 2 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!3 or 4 own children of the householder","Families!!NUMBER OF OWN CHILDREN OF THE HOUSEHOLDER UNDER 18 YEARS!!5 or more own children of the householder","Families!!NUMBER OF PEOPLE IN FAMILY","Families!!NUMBER OF PEOPLE IN FAMILY!!2 people","Families!!NUMBER OF PEOPLE IN FAMILY!!3 or 4 people","Families!!NUMBER OF PEOPLE IN FAMILY!!5 or 6 people","Families!!NUMBER OF PEOPLE IN FAMILY!!7 or more people","Families!!NUMBER OF WORKERS IN FAMILY","Families!!NUMBER OF WORKERS IN FAMILY!!No workers","Families!!NUMBER OF WORKERS IN FAMILY!!1 worker","Families!!NUMBER OF WORKERS IN FAMILY!!2 workers","Families!!NUMBER OF WORKERS IN FAMILY!!3 or more workers","Families!!INCOME DEFICIT","Families!!INCOME DEFICIT!!Mean income deficit for families (dollars)","Families!!TENURE","Families!!TENURE!!Owner occupied","Families!!TENURE!!Renter Occupied","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!50 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!125 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!150 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!185 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!200 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!300 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!400 percent of poverty level","Families!!ALL FAMILIES WITH INCOME BELOW THE FOLLOWING POVERTY RATIOS!!500 percent of poverty level"
"            Estimate","1,577","1,008","89","131","788","","","1,203","188","0","0","0","129","57","432","916","1,232","1,103","95","","121","285","","183","177","573","644","","569","584","418","6","","648","611","312","6","","620","861","72","24","","196","866","359","156","","N","","1,207","370","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±501","±382","±85","±81","±362","","","±438","±121","±30","±30","±30","±82","±78","±125","±410","±444","±445","±79","","±68","±150","","±73","±107","±285","±402","","±273","±216","±337","±10","","±279","±210","±308","±10","","±267","±352","±52","±32","","±133","±361","±215","±88","","N","","±464","±181","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16.0%","15.8%","22.5%","49.6%","9.4%","","","16.2%","0.0%","-","-","-","45.0%","0.0%","29.6%","11.0%","2.4%","2.2%","0.0%","","53.7%","44.9%","","43.7%","11.3%","16.4%","9.2%","","16.5%","15.1%","15.6%","100.0%","","14.5%","25.0%","0.0%","100.0%","","20.2%","13.1%","12.5%","25.0%","","94.9%","7.0%","1.7%","0.0%","","(X)","","15.7%","17.3%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±7.8","±9.1","±35.3","±31.9","±9.7","","","±9.3","±21.1","**","**","**","±30.9","±46.2","±17.5","±11.5","±3.0","±3.2","±35.5","","±31.2","±23.9","","±25.7","±18.5","±15.6","±11.6","","±16.0","±12.6","±16.2","±100.0","","±14.4","±14.6","±13.4","±100.0","","±16.6","±8.2","±18.2","±47.6","","±7.8","±6.5","±3.4","±24.7","","(X)","","±8.6","±16.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","3,244","1,978","218","362","1,398","","","1,898","273","24","32","0","745","272","1,336","1,580","2,014","1,524","638","","178","931","","649","786","988","821","","1,266","1,246","600","132","","1,754","888","470","132","","1,071","1,263","649","261","","385","1,538","703","618","","8,082","","2,765","479","","39","579","615","800","1,106","1,588","2,227","2,589"
"            Margin of Error","±431","±409","±149","±180","±364","","","±308","±187","±42","±33","±22","±233","±165","±276","±277","±327","±307","±225","","±120","±294","","±255","±257","±301","±233","","±295","±348","±214","±89","","±356","±301","±205","±89","","±280","±311","±246","±144","","±157","±370","±215","±187","","±1,521","","±383","±208","","±47","±241","±263","±309","±329","±344","±392","±433"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","11.7%","17.5%","31.2%","3.6%","19.0%","","","9.8%","0.0%","0.0%","0.0%","-","18.1%","21.7%","24.4%","3.4%","8.5%","3.9%","8.5%","","32.6%","4.9%","","8.9%","17.8%","18.4%","0.0%","","2.6%","16.5%","23.7%","0.0%","","7.2%","20.7%","14.7%","0.0%","","9.2%","15.8%","10.6%","5.0%","","37.9%","14.0%","0.7%","2.1%","","(X)","","11.4%","13.6%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±6.1","±9.5","±32.9","±6.3","±12.2","","","±6.4","±15.2","±71.2","±61.7","**","±14.2","±34.8","±13.3","±3.1","±6.6","±6.2","±7.9","","±37.6","±4.7","","±10.5","±11.3","±12.7","±5.3","","±3.0","±12.3","±19.3","±28.2","","±5.2","±15.5","±20.0","±28.2","","±7.9","±10.3","±14.6","±8.9","","±22.9","±8.7","±2.3","±3.5","","(X)","","±6.2","±14.3","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,462","1,489","183","292","1,014","","","1,365","239","0","32","0","558","268","948","1,220","1,554","1,127","543","","105","823","","432","517","775","738","","973","910","447","132","","1,292","648","390","132","","776","861","592","233","","239","1,106","615","502","","8,080","","2,180","282","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±423","±349","±148","±157","±318","","","±307","±176","±22","±33","±22","±219","±165","±256","±269","±325","±300","±222","","±85","±291","","±208","±211","±269","±208","","±274","±297","±192","±89","","±330","±241","±190","±89","","±264","±266","±233","±146","","±116","±297","±228","±175","","±2,274","","±376","±161","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","7.2%","11.9%","37.2%","0.0%","10.7%","","","0.7%","0.0%","-","0.0%","-","19.5%","22.0%","18.7%","0.0%","8.2%","5.2%","0.0%","","0.0%","0.0%","","9.3%","0.0%","17.7%","0.0%","","0.0%","11.9%","15.4%","0.0%","","0.0%","16.7%","17.7%","0.0%","","0.0%","12.5%","11.7%","0.0%","","0.0%","16.0%","0.0%","0.0%","","(X)","","8.1%","0.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±5.4","±8.8","±36.3","±14.2","±10.9","","","±1.0","±17.1","**","±61.7","**","±17.5","±35.5","±13.0","±3.6","±8.3","±8.3","±7.9","","±33.3","±5.3","","±14.0","±8.3","±14.1","±5.9","","±4.5","±11.3","±21.2","±28.2","","±3.4","±15.8","±23.7","±28.2","","±5.6","±11.7","±15.8","±17.5","","±17.1","±11.4","±7.1","±8.6","","(X)","","±6.1","±14.7","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","725","466","35","70","361","","","476","34","24","0","0","187","4","388","303","403","340","95","","73","108","","217","269","190","49","","259","313","153","0","","428","217","80","0","","261","379","57","28","","146","375","88","116","","8,084","","528","197","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±241","±201","±53","±78","±173","","","±187","±57","±42","±22","±22","±117","±9","±154","±129","±167","±159","±69","","±85","±68","","±141","±137","±130","±63","","±125","±167","±109","±22","","±149","±138","±87","±22","","±138","±174","±73","±33","","±112","±193","±81","±73","","±2,380","","±189","±129","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","28.0%","36.5%","0.0%","18.6%","43.5%","","","37.2%","0.0%","0.0%","-","-","13.9%","0.0%","38.4%","17.8%","10.9%","0.0%","56.8%","","79.5%","42.6%","","8.3%","52.0%","23.7%","0.0%","","12.7%","31.0%","47.7%","-","","29.7%","35.0%","0.0%","-","","37.9%","24.0%","0.0%","46.4%","","100.0%","10.4%","5.7%","11.2%","","(X)","","26.1%","33.0%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±16.4","±25.5","±59.0","±34.7","±26.4","","","±20.9","±59.8","±71.2","**","**","±23.9","±100.0","±26.7","±17.6","±12.5","±12.4","±40.3","","±45.5","±30.8","","±13.9","±20.8","±32.4","±49.9","","±14.9","±27.9","±43.6","**","","±19.9","±32.5","±39.0","**","","±27.0","±20.2","±46.2","±53.6","","±26.0","±13.5","±18.0","±20.9","","(X)","","±18.5","±31.9","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"ZCTA5 78613","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    All families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","20,198","11,949","1,941","2,039","7,969","","","16,278","498","11","1,920","45","286","1,160","3,431","13,796","16,742","13,694","2,389","","674","3,112","","544","2,121","5,532","12,001","","8,249","10,078","1,795","76","","8,771","9,630","1,721","76","","7,423","10,303","2,347","125","","1,703","5,910","10,514","2,071","","N","","16,146","4,052","","376","1,216","1,587","2,236","2,377","3,716","5,802","8,504"
"            Margin of Error","±731","±651","±424","±446","±667","","","±779","±176","±19","±297","±53","±175","±380","±505","±809","±787","±872","±312","","±222","±367","","±213","±372","±669","±656","","±699","±669","±293","±51","","±707","±662","±287","±51","","±641","±620","±291","±66","","±342","±574","±636","±304","","N","","±811","±505","","±164","±293","±345","±421","±436","±487","±544","±571"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","4.3%","4.7%","1.2%","9.6%","4.3%","","","4.0%","11.8%","0.0%","3.1%","100.0%","0.0%","5.3%","10.2%","2.6%","3.1%","1.4%","6.8%","","8.0%","4.6%","","51.3%","9.8%","5.0%","0.9%","","3.8%","3.7%","10.1%","3.9%","","3.7%","3.8%","10.5%","3.9%","","6.1%","2.5%","6.9%","0.0%","","15.0%","8.1%","1.3%","0.0%","","(X)","","2.7%","10.7%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±1.3","±1.7","±2.0","±5.9","±2.0","","","±1.4","±12.8","±100.0","±2.8","±52.0","±14.5","±7.0","±5.1","±1.1","±1.1","±1.0","±5.4","","±8.7","±4.1","","±22.2","±5.1","±2.0","±0.6","","±2.1","±1.7","±7.2","±15.9","","±1.9","±1.8","±7.4","±15.9","","±2.6","±1.1","±5.1","±29.4","","±8.1","±2.9","±1.1","±2.1","","(X)","","±1.1","±4.4","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Married-couple families","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","16,804","9,626","1,699","1,933","5,994","","","13,495","270","0","1,821","0","243","975","2,607","11,621","13,939","11,583","2,113","","409","2,543","","380","1,395","4,311","10,718","","7,178","7,916","1,637","73","","7,456","7,708","1,567","73","","5,534","8,886","2,265","119","","1,421","3,952","9,516","1,915","","N","","14,325","2,479","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±808","±615","±410","±446","±539","","","±804","±120","±33","±295","±33","±171","±354","±520","±795","±794","±833","±317","","±178","±367","","±207","±329","±592","±673","","±639","±622","±273","±50","","±662","±610","±271","±50","","±492","±675","±272","±64","","±310","±501","±675","±300","","N","","±831","±433","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Percent below poverty level","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2.2%","2.0%","0.0%","6.8%","1.0%","","","2.4%","0.0%","-","1.6%","-","0.0%","0.9%","5.9%","1.5%","1.2%","0.7%","5.5%","","2.2%","4.6%","","60.0%","1.1%","2.0%","0.3%","","2.4%","0.7%","8.2%","0.0%","","2.4%","0.6%","8.6%","0.0%","","2.9%","0.4%","7.1%","0.0%","","9.7%","2.9%","1.1%","0.0%","","(X)","","1.4%","6.5%","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"            Margin of Error","±1.1","±1.3","±2.6","±5.7","±0.8","","","±1.4","±15.3","**","±1.7","**","±16.8","±1.6","±5.1","±1.2","±0.9","±0.6","±5.6","","±4.1","±4.7","","±24.1","±1.5","±1.4","±0.3","","±1.8","±0.6","±7.2","±40.8","","±1.7","±0.6","±7.4","±40.8","","±2.3","±0.4","±5.2","±30.5","","±8.4","±2.1","±1.2","±2.3","","(X)","","±1.0","±5.0","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female householder, no spouse present","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Estimate","2,654","1,954","161","93","1,700","","","2,060","228","11","99","45","43","168","661","1,615","2,105","1,603","192","","233","375","","135","595","837","1,087","","700","1,797","154","3","","905","1,596","150","3","","1,425","1,148","81","0","","263","1,563","753","75","","N","","1,366","1,288","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
