,Zip Code,Total ,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races ,Two or more races Two races including Some other race,"Two or more races Two races excluding Some other race, and three or more races"
138,78745,"63,287","52,726","2,416",462,"1,540",0,"2,798","3,345","1,662","1,683"
140,    Margin of Error,,,,,,,,,,
142,    Estimate,"±1,028","±1,105",±146,±10,±525,±26,±284,±150,±58,±141
144,78747,"20,137","13,781",832,211,711,24,"3,789",789,229,560
146,    Margin of Error,,,,,,,,,,
148,    Estimate,"±2,931","±3,118",±705,±146,±704,±33,±339,"±1,149",±468,"±1,011"
150,78749,"38,503","28,826","1,362",34,"4,253",0,928,"3,100",611,"2,489"
152,    Margin of Error,,,,,,,,,,
154,    Estimate,"±2,270","±1,862",±902,±109,"±1,091",±8,±528,±974,±316,±924
156,78751,"16,138","12,565",514,78,"1,202",52,620,"1,107",729,378
158,    Margin of Error,,,,,,,,,,
160,    Estimate,"±1,980","±1,591",±871,±468,±402,±117,"±1,054","±1,038","±1,016",±280
162,78753,"60,035","32,747","9,065","1,318","5,070",0,"9,175","2,660",921,"1,739"
164,    Margin of Error,,,,,,,,,,
166,    Estimate,"±2,497","±1,550","±1,511",±181,±819,±121,"±1,941",±522,±193,±512
168,78756,"9,450","7,627",420,23,473,0,75,832,529,303
170,    Margin of Error,,,,,,,,,,
172,    Estimate,"±2,406","±1,395",±588,±26,±259,±26,±957,"±1,449","±1,370",±244
174,78758,"50,575","30,909","4,799",510,"3,541",25,"7,479","3,312","2,067","1,245"
176,    Margin of Error,,,,,,,,,,
178,    Estimate,"±2,097","±1,626",±407,±20,±674,±23,±429,±921,±708,±608
180,"Travis County, Texas","1,250,884","866,831","103,692","7,729","85,106",704,"103,055","83,767","41,276","42,491"
182,    Margin of Error,*****,"±6,261","±1,808","±1,218","±1,560",±343,"±5,152","±5,205","±5,052","±2,750"
