,Zip Code,Label,Grouping,Total,"    Less than $10,000","    $10,000 to $14,999","    $15,000 to $24,999","    $25,000 to $34,999","    $35,000 to $49,999","    $50,000 to $74,999","    $75,000 to $99,999","    $100,000 to $149,999","    $150,000 to $199,999","    $200,000 or more",Median income (dollars),Mean income (dollars),PERCENT ALLOCATED,    Household income in the past 12 months,    Family income in the past 12 months,    Nonfamily income in the past 12 months
59,78634,Families,Estimate,"8,727",1.3%,1.5%,4.6%,3.3%,7.9%,18.1%,18.0%,28.0%,11.0%,6.3%,"95,307","105,006",,(X),31.9%,(X)
61,78634,Married-couple families,Estimate,"6,716",0.2%,0.1%,2.3%,2.1%,4.6%,15.7%,22.1%,32.5%,13.5%,6.9%,"104,696",N,,(X),(X),(X)
63,78634,Nonfamily households,Estimate,"2,734",4.6%,1.1%,6.5%,4.8%,20.4%,24.7%,21.2%,12.3%,3.1%,1.3%,"66,055","78,813",,(X),(X),24.1%
65,78641,Households,Estimate,"24,371",1.9%,1.4%,3.0%,5.4%,6.6%,15.6%,13.6%,24.2%,14.0%,14.3%,"105,096","126,322",,30.5%,(X),(X)
67,78641,Families,Estimate,"19,728",1.2%,0.5%,2.3%,4.5%,5.4%,14.9%,13.8%,25.4%,15.2%,16.8%,"112,235","137,224",,(X),31.3%,(X)
69,78641,Married-couple families,Estimate,"16,238",0.6%,0.2%,0.8%,2.6%,3.9%,11.7%,14.4%,28.4%,17.6%,19.8%,"123,915",N,,(X),(X),(X)
71,78641,Nonfamily households,Estimate,"4,643",6.2%,5.4%,9.0%,10.7%,14.0%,19.9%,9.9%,15.3%,7.0%,2.4%,"54,986","69,415",,(X),(X),26.4%
73,78645,Households,Estimate,"4,851",4.3%,2.0%,6.0%,3.8%,11.5%,17.6%,14.1%,17.1%,12.3%,11.2%,"83,388","116,422",,32.6%,(X),(X)
75,78645,Families,Estimate,"3,415",0.4%,0.4%,3.8%,1.2%,6.7%,20.2%,14.5%,21.6%,16.6%,14.7%,"105,114","141,371",,(X),35.0%,(X)
77,78645,Married-couple families,Estimate,"3,169",0.4%,0.4%,2.3%,1.3%,5.6%,19.8%,14.6%,22.6%,17.6%,15.5%,"111,806",N,,(X),(X),(X)
79,78645,Nonfamily households,Estimate,"1,436",13.7%,6.0%,11.4%,10.4%,23.1%,11.0%,13.0%,6.3%,2.2%,2.8%,"40,985","56,605",,(X),(X),26.6%
81,78652,Households,Estimate,"2,210",2.9%,1.6%,5.4%,6.0%,12.6%,16.2%,12.8%,23.6%,7.8%,11.0%,"88,243","110,450",,33.0%,(X),(X)
83,78652,Families,Estimate,"1,499",1.2%,1.2%,5.9%,1.9%,7.8%,13.2%,9.9%,31.4%,11.3%,16.1%,"107,547","136,153",,(X),35.8%,(X)
85,78652,Married-couple families,Estimate,"1,353",0.0%,0.0%,6.6%,0.4%,8.6%,11.9%,7.5%,34.5%,12.6%,17.9%,"109,828",N,,(X),(X),(X)
87,78652,Nonfamily households,Estimate,711,6.6%,2.4%,4.4%,14.8%,22.8%,22.5%,18.8%,7.3%,0.4%,0.0%,"48,375","55,721",,(X),(X),27.0%
89,78653,Households,Estimate,"8,981",3.0%,1.7%,3.1%,7.3%,11.0%,14.7%,22.9%,25.1%,7.1%,4.2%,"85,544","89,841",,42.4%,(X),(X)
91,78653,Families,Estimate,"6,681",3.9%,2.0%,5.4%,4.7%,9.9%,16.6%,25.1%,19.3%,8.7%,4.4%,"84,832","89,382",,(X),49.4%,(X)
93,78653,Married-couple families,Estimate,"4,318",2.5%,0.8%,0.7%,3.3%,5.2%,14.3%,27.0%,26.8%,12.5%,6.9%,"96,224",N,,(X),(X),(X)
95,78653,Nonfamily households,Estimate,"2,300",3.3%,1.1%,6.3%,11.5%,16.2%,13.0%,12.9%,32.9%,0.0%,2.9%,"66,944","75,352",,(X),(X),16.9%
97,78654,Households,Estimate,"7,174",2.3%,1.6%,11.9%,11.2%,14.9%,20.4%,14.3%,14.5%,4.4%,4.6%,"57,087","76,944",,35.2%,(X),(X)
99,78654,Families,Estimate,"5,114",0.4%,1.1%,7.0%,7.6%,16.2%,20.8%,16.6%,18.1%,5.8%,6.3%,"70,218","89,694",,(X),31.0%,(X)
101,78654,Married-couple families,Estimate,"4,163",0.1%,1.3%,6.7%,6.1%,16.7%,18.7%,15.4%,20.5%,6.9%,7.4%,"76,205",N,,(X),(X),(X)
103,78654,Nonfamily households,Estimate,"2,060",7.0%,2.8%,24.0%,21.0%,11.7%,19.0%,8.0%,5.3%,0.9%,0.2%,"32,845","44,770",,(X),(X),45.7%
105,78660,Households,Estimate,"33,953",1.9%,1.7%,2.9%,4.4%,9.3%,15.5%,17.3%,26.6%,13.3%,7.0%,"93,819","104,978",,35.8%,(X),(X)
107,78660,Families,Estimate,"25,153",0.8%,1.1%,2.3%,3.1%,6.9%,14.9%,17.7%,28.8%,16.7%,7.8%,"105,176","114,055",,(X),37.5%,(X)
109,78660,Married-couple families,Estimate,"19,884",0.3%,0.4%,1.7%,1.9%,3.9%,13.7%,16.5%,32.3%,19.9%,9.6%,"113,279",N,,(X),(X),(X)
111,78660,Nonfamily households,Estimate,"8,800",5.6%,3.9%,5.3%,8.4%,18.1%,19.7%,15.3%,18.5%,3.3%,2.1%,"60,629","70,006",,(X),(X),28.4%
113,78663,Households,Estimate,304,0.7%,0.0%,3.0%,4.9%,1.6%,30.6%,28.9%,16.1%,3.3%,10.9%,"88,750","105,578",,36.5%,(X),(X)
115,78663,Families,Estimate,253,0.0%,0.0%,1.6%,0.0%,2.0%,31.2%,28.9%,19.4%,4.0%,13.0%,"89,688","115,912",,(X),36.8%,(X)
117,78663,Married-couple families,Estimate,235,0.0%,0.0%,0.4%,0.0%,2.1%,33.6%,31.1%,20.9%,4.3%,7.7%,"89,152",N,,(X),(X),(X)
119,78663,Nonfamily households,Estimate,51,3.9%,0.0%,9.8%,29.4%,0.0%,27.5%,29.4%,0.0%,0.0%,0.0%,"60,625","54,310",,(X),(X),35.3%
121,78664,Households,Estimate,"21,034",3.3%,1.3%,4.3%,7.1%,12.6%,18.6%,16.1%,21.0%,9.0%,6.7%,"77,679","93,299",,33.9%,(X),(X)
123,78664,Families,Estimate,"14,620",2.2%,0.8%,3.4%,6.8%,11.0%,13.7%,17.1%,24.5%,11.9%,8.5%,"90,282","104,790",,(X),36.7%,(X)
125,78664,Married-couple families,Estimate,"10,902",0.4%,0.6%,1.2%,5.9%,7.4%,12.3%,20.3%,27.8%,13.5%,10.5%,"101,734",N,,(X),(X),(X)
127,78664,Nonfamily households,Estimate,"6,414",6.7%,2.7%,7.2%,9.0%,16.2%,28.3%,13.4%,12.6%,1.7%,2.1%,"54,813","63,345",,(X),(X),25.3%
129,78669,Households,Estimate,"5,185",2.1%,1.0%,2.6%,3.4%,4.2%,10.0%,10.3%,24.4%,12.3%,29.8%,"133,673","166,082",,30.5%,(X),(X)
131,78669,Families,Estimate,"4,383",1.1%,0.1%,1.3%,1.7%,3.9%,8.4%,11.0%,25.4%,13.5%,33.6%,"142,050","178,576",,(X),31.5%,(X)
133,78669,Married-couple families,Estimate,"4,167",0.8%,0.1%,1.2%,1.2%,3.0%,8.0%,10.9%,25.7%,13.9%,35.2%,"148,605",N,,(X),(X),(X)
135,78669,Nonfamily households,Estimate,802,9.5%,5.7%,9.4%,12.6%,6.5%,18.7%,4.0%,19.2%,5.4%,9.1%,"58,971","95,550",,(X),(X),23.3%
137,78701,Households,Estimate,"7,287",6.3%,0.6%,4.5%,1.5%,3.1%,9.0%,11.2%,26.1%,10.8%,27.0%,"127,782","174,288",,23.1%,(X),(X)
139,78701,Families,Estimate,"2,145",3.1%,0.0%,1.4%,0.6%,0.4%,9.9%,3.4%,20.7%,22.2%,38.2%,"154,831","221,609",,(X),31.8%,(X)
141,78701,Married-couple families,Estimate,"1,970",3.4%,0.0%,0.9%,0.6%,0.5%,5.5%,3.7%,20.8%,24.2%,40.5%,"176,136",N,,(X),(X),(X)
143,78701,Nonfamily households,Estimate,"5,142",7.7%,0.8%,5.8%,1.9%,4.2%,8.6%,14.5%,28.3%,6.0%,22.3%,"109,024","154,529",,(X),(X),19.5%
145,78702,Households,Estimate,"10,513",8.0%,8.0%,8.9%,7.8%,7.3%,11.1%,9.8%,19.8%,11.0%,8.2%,"72,906","93,784",,40.7%,(X),(X)
147,78702,Families,Estimate,"4,230",7.5%,8.0%,8.6%,8.4%,8.2%,13.4%,7.9%,21.3%,8.8%,7.9%,"70,506","88,769",,(X),39.4%,(X)
149,78702,Married-couple families,Estimate,"2,213",1.5%,0.5%,6.0%,5.3%,3.5%,12.6%,13.1%,30.7%,12.6%,14.2%,"111,145",N,,(X),(X),(X)
151,78702,Nonfamily households,Estimate,"6,283",8.5%,8.4%,9.8%,7.3%,7.5%,9.5%,10.3%,19.6%,11.0%,8.2%,"72,217","94,589",,(X),(X),40.3%
153,78703,Households,Estimate,"9,478",4.2%,0.3%,3.3%,6.3%,8.4%,13.0%,10.5%,14.5%,11.9%,27.6%,"108,065","186,195",,31.9%,(X),(X)
155,78703,Families,Estimate,"4,576",0.4%,0.2%,0.9%,2.6%,4.2%,5.6%,9.9%,13.7%,16.6%,45.8%,"181,875","270,217",,(X),33.9%,(X)
157,78703,Married-couple families,Estimate,"4,206",0.5%,0.0%,1.0%,1.6%,3.7%,5.4%,9.3%,14.7%,17.7%,46.0%,"183,981",N,,(X),(X),(X)
159,78703,Nonfamily households,Estimate,"4,902",7.8%,0.5%,5.5%,10.1%,12.4%,20.0%,11.1%,14.8%,7.4%,10.6%,"66,551","107,043",,(X),(X),29.1%
161,78704,Households,Estimate,"26,471",7.1%,1.9%,5.7%,6.0%,10.5%,15.7%,13.3%,15.6%,9.2%,15.1%,"78,861","118,781",,30.7%,(X),(X)
163,78704,Families,Estimate,"9,145",1.8%,1.3%,6.1%,4.1%,8.4%,9.5%,10.0%,17.2%,13.5%,28.1%,"123,322","167,705",,(X),35.7%,(X)
165,78704,Married-couple families,Estimate,"6,661",0.0%,0.3%,2.0%,2.3%,5.4%,7.3%,10.7%,18.0%,16.5%,37.5%,"156,086",N,,(X),(X),(X)
167,78704,Nonfamily households,Estimate,"17,326",10.0%,2.2%,6.6%,7.2%,12.0%,18.9%,14.0%,14.6%,6.5%,8.1%,"64,817","90,543",,(X),(X),27.9%
169,78705,Households,Estimate,"8,492",33.0%,9.0%,9.2%,9.2%,7.1%,11.6%,5.9%,9.2%,2.1%,3.8%,"23,509","53,060",,33.0%,(X),(X)
171,78705,Families,Estimate,"1,468",18.5%,2.4%,3.0%,5.2%,3.6%,12.3%,16.2%,17.0%,3.2%,18.5%,"82,361","123,735",,(X),20.0%,(X)
173,78705,Married-couple families,Estimate,988,4.6%,2.0%,1.6%,7.0%,0.5%,12.3%,20.6%,21.0%,4.8%,25.6%,"101,083",N,,(X),(X),(X)
175,78705,Nonfamily households,Estimate,"7,024",36.0%,10.3%,10.6%,10.0%,7.8%,11.8%,3.8%,7.1%,1.9%,0.7%,"18,504","37,937",,(X),(X),35.5%
177,78712,Households,Estimate,0,-,-,-,-,-,-,-,-,-,-,-,-,,-,(X),(X)
179,78712,Families,Estimate,0,-,-,-,-,-,-,-,-,-,-,-,-,,(X),-,(X)
181,78712,Married-couple families,Estimate,0,-,-,-,-,-,-,-,-,-,-,-,-,,(X),(X),(X)
183,78712,Nonfamily households,Estimate,0,-,-,-,-,-,-,-,-,-,-,-,-,,(X),(X),-
185,78719,Households,Estimate,405,6.2%,0.0%,1.5%,18.8%,23.7%,12.1%,17.8%,18.0%,0.0%,2.0%,"49,917","65,064",,66.7%,(X),(X)
187,78719,Families,Estimate,342,5.3%,0.0%,0.0%,16.1%,25.7%,14.3%,21.1%,15.2%,0.0%,2.3%,"51,923","66,325",,(X),70.2%,(X)
189,78719,Married-couple families,Estimate,217,8.3%,0.0%,0.0%,10.6%,18.0%,16.6%,30.0%,14.3%,0.0%,2.3%,"64,514",N,,(X),(X),(X)
191,78719,Nonfamily households,Estimate,63,11.1%,0.0%,9.5%,33.3%,12.7%,0.0%,0.0%,33.3%,0.0%,0.0%,-,"56,098",,(X),(X),47.6%
193,78721,Households,Estimate,"4,027",8.2%,3.2%,12.6%,8.2%,12.3%,18.3%,8.5%,13.3%,7.8%,7.5%,"55,359","80,606",,47.0%,(X),(X)
195,78721,Families,Estimate,"2,322",8.1%,3.1%,14.0%,9.3%,18.0%,10.2%,9.1%,13.3%,5.1%,9.9%,"46,680","79,946",,(X),48.3%,(X)
197,78721,Married-couple families,Estimate,"1,219",3.5%,4.4%,5.9%,3.1%,13.6%,8.9%,9.9%,24.2%,8.9%,17.5%,"100,625",N,,(X),(X),(X)
199,78721,Nonfamily households,Estimate,"1,705",10.4%,3.3%,9.6%,7.2%,10.2%,27.3%,5.2%,13.3%,9.3%,4.3%,"55,763","75,740",,(X),(X),41.9%
201,78722,Households,Estimate,"3,145",7.0%,5.2%,4.5%,6.4%,10.7%,16.1%,9.9%,21.7%,9.6%,8.9%,"75,274","97,305",,31.3%,(X),(X)
203,78722,Families,Estimate,"1,228",2.0%,3.9%,2.9%,4.2%,9.9%,13.9%,13.5%,23.1%,12.3%,14.2%,"96,364","120,913",,(X),30.9%,(X)
205,78722,Married-couple families,Estimate,893,2.0%,0.0%,2.0%,3.8%,8.8%,13.8%,9.6%,28.1%,13.4%,18.4%,"109,432",N,,(X),(X),(X)
207,78722,Nonfamily households,Estimate,"1,917",10.2%,6.1%,6.5%,7.8%,10.2%,17.4%,10.4%,19.2%,8.3%,4.0%,"63,896","79,306",,(X),(X),30.3%
209,78723,Households,Estimate,"14,192",5.9%,4.5%,9.0%,7.4%,10.2%,14.4%,11.9%,16.2%,9.9%,10.6%,"72,764","99,783",,36.3%,(X),(X)
211,78723,Families,Estimate,"7,886",3.4%,2.3%,8.0%,7.2%,9.9%,14.3%,10.0%,18.5%,12.9%,13.6%,"85,786","114,992",,(X),41.1%,(X)
213,78723,Married-couple families,Estimate,"5,381",0.7%,2.1%,4.7%,3.0%,5.8%,12.2%,11.9%,21.8%,18.4%,19.3%,"118,054",N,,(X),(X),(X)
215,78723,Nonfamily households,Estimate,"6,306",9.4%,7.3%,11.1%,10.1%,9.6%,15.4%,13.3%,11.3%,5.8%,6.7%,"53,060","77,337",,(X),(X),29.0%
217,78724,Households,Estimate,"6,619",4.1%,5.3%,6.5%,9.8%,16.7%,25.2%,13.3%,12.6%,4.3%,2.2%,"58,095","70,092",,57.2%,(X),(X)
219,78724,Families,Estimate,"5,246",5.8%,3.3%,5.3%,14.4%,18.1%,21.7%,11.6%,13.5%,3.5%,2.7%,"53,750","69,654",,(X),60.6%,(X)
221,78724,Married-couple families,Estimate,"3,007",0.8%,2.5%,2.3%,7.6%,16.3%,25.9%,15.7%,19.5%,6.1%,3.4%,"69,464",N,,(X),(X),(X)
223,78724,Nonfamily households,Estimate,"1,373",13.8%,12.8%,7.5%,2.8%,11.2%,22.1%,15.4%,6.8%,7.2%,0.4%,"53,886","58,375",,(X),(X),37.9%
225,78725,Households,Estimate,"3,038",3.1%,1.0%,7.1%,5.4%,9.0%,25.9%,15.0%,27.1%,3.4%,3.1%,"74,205","87,487",,40.8%,(X),(X)
227,78725,Families,Estimate,"2,172",3.0%,0.5%,6.6%,8.6%,10.9%,22.2%,9.9%,30.1%,4.5%,3.9%,"71,838","92,016",,(X),50.7%,(X)
229,78725,Married-couple families,Estimate,"1,624",4.0%,0.0%,5.0%,2.2%,8.9%,25.6%,12.6%,30.4%,6.0%,5.2%,"82,300",N,,(X),(X),(X)
231,78725,Nonfamily households,Estimate,866,3.2%,2.2%,11.4%,1.8%,6.0%,32.0%,23.4%,18.7%,0.0%,1.2%,"73,389","71,322",,(X),(X),15.8%
233,78726,Households,Estimate,"5,604",2.1%,1.2%,4.8%,6.6%,12.7%,12.6%,11.3%,18.9%,10.8%,18.8%,"88,750","123,671",,18.8%,(X),(X)
235,78726,Families,Estimate,"3,198",0.8%,0.0%,4.8%,0.8%,6.4%,17.4%,9.0%,14.9%,14.1%,31.7%,"142,753","160,419",,(X),20.1%,(X)
237,78726,Married-couple families,Estimate,"2,530",0.0%,0.0%,0.0%,0.0%,5.8%,12.7%,6.8%,16.8%,17.8%,40.1%,"180,667",N,,(X),(X),(X)
239,78726,Nonfamily households,Estimate,"2,406",3.9%,2.7%,4.9%,14.3%,21.1%,14.3%,14.4%,16.2%,6.5%,1.7%,"58,361","71,272",,(X),(X),17.1%
241,78727,Households,Estimate,"13,911",2.5%,2.5%,3.4%,5.1%,10.1%,19.8%,16.6%,20.9%,11.3%,7.9%,"83,603","101,330",,28.5%,(X),(X)
243,78727,Families,Estimate,"7,728",0.4%,2.2%,3.3%,4.7%,7.8%,14.7%,15.4%,25.3%,15.7%,10.6%,"102,358","118,178",,(X),31.2%,(X)
245,78727,Married-couple families,Estimate,"6,126",0.0%,2.0%,2.6%,2.8%,5.1%,11.7%,16.4%,27.5%,18.9%,13.0%,"115,422",N,,(X),(X),(X)
247,78727,Nonfamily households,Estimate,"6,183",5.4%,2.9%,3.6%,6.7%,11.9%,27.5%,17.3%,15.4%,5.0%,4.4%,"64,227","78,709",,(X),(X),24.6%
249,78728,Households,Estimate,"10,429",7.0%,3.0%,5.8%,9.9%,12.9%,21.1%,11.8%,19.5%,5.4%,3.6%,"62,223","78,449",,28.5%,(X),(X)
251,78728,Families,Estimate,"5,497",7.9%,0.7%,4.2%,7.0%,9.6%,19.8%,9.6%,28.1%,7.8%,5.3%,"76,703","91,533",,(X),25.2%,(X)
253,78728,Married-couple families,Estimate,"3,823",8.1%,0.8%,1.8%,6.4%,4.7%,13.0%,10.5%,37.3%,10.3%,7.2%,"106,005",N,,(X),(X),(X)
255,78728,Nonfamily households,Estimate,"4,932",7.5%,5.0%,7.9%,12.8%,17.1%,22.5%,13.0%,10.4%,2.4%,1.5%,"49,739","62,020",,(X),(X),31.2%
257,78729,Households,Estimate,"11,516",3.2%,0.8%,4.1%,5.9%,13.9%,22.2%,12.3%,20.6%,9.9%,7.1%,"74,782","96,015",,23.0%,(X),(X)
259,78729,Families,Estimate,"6,409",4.1%,0.9%,2.9%,5.7%,7.3%,19.6%,13.1%,24.7%,14.1%,7.6%,"92,691","106,199",,(X),19.8%,(X)
261,78729,Married-couple families,Estimate,"4,971",0.2%,0.4%,3.3%,0.8%,7.8%,16.6%,13.4%,30.3%,17.8%,9.5%,"109,242",N,,(X),(X),(X)
263,78729,Nonfamily households,Estimate,"5,107",3.1%,0.9%,5.2%,6.7%,21.9%,26.5%,10.9%,14.3%,4.5%,6.0%,"60,664","81,040",,(X),(X),25.9%
265,78730,Households,Estimate,"4,453",1.9%,0.9%,0.8%,1.7%,7.0%,16.3%,15.4%,14.6%,8.3%,33.1%,"113,614","203,172",,16.6%,(X),(X)
267,78730,Families,Estimate,"2,978",0.6%,1.4%,1.2%,1.3%,1.6%,6.8%,12.7%,16.0%,12.5%,45.9%,"176,429","263,246",,(X),19.4%,(X)
269,78730,Married-couple families,Estimate,"2,774",0.0%,1.5%,1.3%,1.4%,1.5%,6.0%,12.3%,15.1%,12.9%,47.9%,"185,484",N,,(X),(X),(X)
271,78730,Nonfamily households,Estimate,"1,475",4.4%,0.0%,0.0%,2.3%,17.8%,35.5%,20.9%,11.9%,0.0%,7.1%,"65,025","80,014",,(X),(X),10.8%
273,78731,Households,Estimate,"13,412",5.3%,2.5%,3.0%,7.4%,14.0%,14.1%,8.9%,14.3%,8.9%,21.6%,"85,586","141,835",,27.5%,(X),(X)
275,78731,Families,Estimate,"6,843",1.9%,1.0%,2.5%,2.0%,3.9%,13.3%,9.0%,17.4%,13.7%,35.3%,"145,401","203,542",,(X),26.5%,(X)
277,78731,Married-couple families,Estimate,"5,753",0.9%,0.4%,1.8%,1.8%,3.5%,11.3%,5.0%,18.9%,15.7%,40.5%,"168,690",N,,(X),(X),(X)
279,78731,Nonfamily households,Estimate,"6,569",9.1%,4.1%,4.1%,13.0%,24.4%,15.4%,8.6%,10.7%,4.0%,6.8%,"45,890","76,057",,(X),(X),28.4%
281,78732,Households,Estimate,"6,197",0.4%,0.0%,4.0%,5.7%,3.6%,7.3%,4.0%,15.5%,17.7%,42.0%,"175,118","227,782",,33.2%,(X),(X)
283,78732,Families,Estimate,"4,546",0.0%,0.0%,0.2%,0.6%,0.6%,6.3%,2.7%,14.0%,19.6%,55.8%,"213,750","281,093",,(X),28.3%,(X)
285,78732,Married-couple families,Estimate,"4,311",0.0%,0.0%,0.3%,0.7%,0.7%,5.3%,1.9%,13.8%,19.0%,58.5%,"231,488",N,,(X),(X),(X)
287,78732,Nonfamily households,Estimate,"1,651",1.5%,0.0%,14.2%,19.7%,11.8%,11.3%,7.4%,18.0%,12.3%,3.9%,"62,907","78,829",,(X),(X),46.7%
289,78733,Households,Estimate,"2,839",1.4%,0.0%,4.9%,1.8%,3.3%,7.4%,8.2%,16.9%,13.9%,42.3%,"171,027","241,690",,36.0%,(X),(X)
291,78733,Families,Estimate,"2,371",0.6%,0.0%,2.2%,1.0%,1.8%,7.5%,8.1%,18.0%,15.5%,45.3%,"188,071","266,812",,(X),34.8%,(X)
293,78733,Married-couple families,Estimate,"2,044",0.7%,0.0%,1.3%,0.6%,1.3%,5.2%,7.8%,16.1%,16.5%,50.4%,"203,750",N,,(X),(X),(X)
295,78733,Nonfamily households,Estimate,468,5.6%,0.0%,18.2%,6.2%,14.3%,5.6%,8.5%,13.2%,2.6%,25.9%,"75,104","109,898",,(X),(X),42.1%
297,78734,Households,Estimate,"8,181",3.6%,1.0%,3.4%,2.9%,8.1%,12.9%,11.1%,18.8%,15.7%,22.5%,"114,709","146,818",,31.7%,(X),(X)
299,78734,Families,Estimate,"5,950",1.5%,2.0%,1.9%,1.5%,5.4%,11.7%,11.4%,20.2%,18.0%,26.4%,"135,234","166,374",,(X),29.0%,(X)
301,78734,Married-couple families,Estimate,"4,970",0.6%,0.4%,0.7%,1.0%,4.8%,9.9%,9.8%,22.0%,19.7%,31.1%,"152,551",N,,(X),(X),(X)
