,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
41,78738,(X),8.6%,80.7%,3.6%,23.8%,30.4%,23.0%,8.5%,2.2%,10.7%,6.2%,15.8%,(X),77.0%,(X),92.0%,(X),100.0%,(X),95.6%,(X),100.0%,(X),31.2%,(X),7.8%,(X),1.2%,(X),31.6%,(X),11.9%,(X),47.4%
42,78739,(X),11.0%,73.6%,4.9%,29.5%,20.2%,19.0%,10.2%,5.2%,15.4%,14.8%,16.1%,(X),74.3%,(X),97.2%,(X),97.7%,(X),100.0%,(X),92.5%,(X),88.6%,(X),6.5%,(X),3.3%,(X),78.5%,(X),81.2%,(X),69.4%
43,78741,(X),4.3%,43.0%,3.9%,16.4%,12.7%,9.9%,42.4%,10.4%,52.8%,55.4%,49.8%,(X),40.5%,(X),96.3%,(X),100.0%,(X),87.0%,(X),78.4%,(X),44.9%,(X),12.3%,(X),3.1%,(X),46.2%,(X),43.3%,(X),49.7%
44,78742,(X),9.4%,88.7%,0.0%,19.7%,23.9%,45.1%,1.9%,0.0%,1.9%,0.0%,2.5%,(X),0.0%,(X),83.8%,(X),100.0%,(X),100.0%,(X),18.8%,(X),0.0%,(X),0.0%,(X),3.9%,(X),0.0%,(X),0.0%,(X),0.0%
45,78744,(X),6.0%,76.6%,6.7%,21.6%,25.5%,22.9%,13.0%,4.3%,17.3%,17.8%,16.9%,(X),48.1%,(X),99.5%,(X),97.1%,(X),90.9%,(X),48.1%,(X),25.2%,(X),9.2%,(X),2.5%,(X),20.8%,(X),21.1%,(X),20.5%
46,78745,(X),11.5%,57.2%,6.5%,17.4%,21.9%,11.3%,22.7%,8.6%,31.3%,27.5%,34.8%,(X),62.0%,(X),95.6%,(X),96.4%,(X),94.8%,(X),76.7%,(X),32.7%,(X),9.1%,(X),1.9%,(X),33.5%,(X),33.8%,(X),33.3%
47,78746,(X),5.3%,78.2%,4.8%,18.8%,24.8%,29.8%,11.8%,4.7%,16.5%,14.8%,18.1%,(X),80.5%,(X),97.0%,(X),98.8%,(X),98.4%,(X),97.2%,(X),43.0%,(X),10.2%,(X),2.2%,(X),40.2%,(X),33.5%,(X),46.1%
48,78747,(X),4.0%,71.1%,5.1%,26.4%,18.5%,21.1%,22.5%,2.5%,24.9%,28.4%,21.2%,(X),47.0%,(X),98.5%,(X),98.3%,(X),100.0%,(X),91.3%,(X),43.4%,(X),10.8%,(X),2.5%,(X),44.2%,(X),45.7%,(X),41.9%
49,78748,(X),10.2%,60.4%,7.9%,18.8%,17.3%,16.4%,20.2%,9.2%,29.4%,25.8%,33.0%,(X),59.9%,(X),94.2%,(X),95.5%,(X),84.4%,(X),71.8%,(X),31.8%,(X),11.6%,(X),2.9%,(X),36.2%,(X),36.5%,(X),35.8%
50,78749,(X),8.8%,69.2%,3.5%,23.0%,25.3%,17.3%,16.7%,5.3%,22.0%,18.1%,25.6%,(X),52.6%,(X),94.8%,(X),98.9%,(X),99.4%,(X),66.2%,(X),36.8%,(X),12.2%,(X),2.5%,(X),29.7%,(X),22.3%,(X),38.3%
51,78750,(X),9.2%,75.2%,2.5%,27.1%,24.7%,20.9%,9.8%,5.9%,15.7%,17.3%,13.7%,(X),68.2%,(X),93.3%,(X),100.0%,(X),99.0%,(X),74.9%,(X),30.3%,(X),7.3%,(X),1.9%,(X),31.4%,(X),26.3%,(X),36.3%
52,78751,(X),0.8%,13.7%,0.1%,3.5%,5.3%,4.7%,34.4%,51.0%,85.5%,84.0%,87.0%,(X),40.9%,(X),85.6%,(X),100.0%,(X),100.0%,(X),85.4%,(X),67.8%,(X),30.0%,(X),4.5%,(X),68.3%,(X),69.2%,(X),67.5%
53,78752,(X),9.8%,54.1%,4.9%,13.4%,17.7%,18.1%,23.6%,12.5%,36.1%,24.8%,49.6%,(X),51.0%,(X),94.8%,(X),100.0%,(X),87.4%,(X),60.4%,(X),18.3%,(X),16.1%,(X),2.4%,(X),20.0%,(X),14.1%,(X),25.1%
54,78753,(X),6.5%,73.6%,4.2%,26.1%,25.2%,18.2%,14.1%,5.7%,19.9%,20.6%,19.1%,(X),33.1%,(X),94.0%,(X),97.4%,(X),95.2%,(X),68.4%,(X),25.6%,(X),8.3%,(X),2.6%,(X),22.4%,(X),20.3%,(X),25.2%
55,78754,(X),10.3%,65.2%,7.0%,23.3%,16.2%,18.7%,16.7%,7.8%,24.5%,22.1%,27.4%,(X),48.9%,(X),98.1%,(X),95.0%,(X),98.5%,(X),45.1%,(X),34.2%,(X),13.4%,(X),1.9%,(X),31.3%,(X),37.4%,(X),26.2%
56,78756,(X),3.1%,43.8%,4.1%,14.9%,13.0%,11.7%,37.9%,15.2%,53.1%,59.2%,48.5%,(X),79.0%,(X),97.6%,(X),91.3%,(X),100.0%,(X),95.2%,(X),62.2%,(X),8.0%,(X),2.4%,(X),72.4%,(X),74.6%,(X),70.0%
57,78757,(X),9.5%,69.8%,6.5%,20.3%,21.5%,21.6%,11.0%,9.7%,20.7%,20.4%,20.9%,(X),67.2%,(X),90.6%,(X),92.4%,(X),100.0%,(X),51.0%,(X),24.9%,(X),11.1%,(X),2.9%,(X),23.4%,(X),17.2%,(X),30.9%
58,78758,(X),5.5%,62.3%,3.5%,19.9%,22.5%,16.4%,24.1%,8.1%,32.2%,33.2%,31.3%,(X),34.6%,(X),98.6%,(X),99.0%,(X),100.0%,(X),67.0%,(X),29.2%,(X),11.0%,(X),4.2%,(X),30.4%,(X),32.5%,(X),28.4%
59,78759,(X),7.4%,64.1%,3.9%,19.5%,20.9%,19.8%,19.0%,9.4%,28.5%,26.6%,30.7%,(X),47.8%,(X),89.8%,(X),99.4%,(X),100.0%,(X),84.7%,(X),31.1%,(X),8.6%,(X),2.6%,(X),33.6%,(X),28.4%,(X),40.7%
60,"Travis County, Texas",(X),6.9%,61.0%,4.5%,19.1%,20.0%,17.5%,24.2%,7.8%,32.1%,30.6%,33.5%,(X),53.4%,(X),95.2%,(X),97.8%,(X),95.6%,(X),81.5%,(X),46.3%,(X),11.0%,(X),2.7%,(X),49.5%,(X),47.2%,(X),51.9%
