,Zip Code,Population 3 years and over enrolled in school,"Population 3 years and over enrolled in school!!Nursery school, preschool",Population 3 years and over enrolled in school!!Kindergarten to 12th grade,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Kindergarten,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 1 to grade 4,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!Elementary: grade 5 to grade 8,Population 3 years and over enrolled in school!!Kindergarten to 12th grade!!High school: grade 9 to grade 12,"Population 3 years and over enrolled in school!!College, undergraduate","Population 3 years and over enrolled in school!!Graduate, professional school",Population enrolled in college or graduate school,Population enrolled in college or graduate school!!Males enrolled in college or graduate school,Population enrolled in college or graduate school!!Females enrolled in college or graduate school,Population 3 to 4 years,Population 3 to 4 years!!3 to 4 year olds enrolled in school,Population 5 to 9 years,Population 5 to 9 years!!5 to 9 year olds enrolled in school,Population 10 to 14 years,Population 10 to 14 years!!10 to 14 year olds enrolled in school,Population 15 to 17,Population 15 to 17!!15 to 17 year olds enrolled in school,Population 18 to 19 years,Population 18 to 19 years!!18 and 19 year olds enrolled in school,Population 20 to 24 years,Population 20 to 24 years!!20 to 24 year olds enrolled in school,Population 25 to 34 years,Population 25 to 34 years!!25 to 34 year olds enrolled in school,Population 35 years and over,Population 35 years and over!!35 years and over enrolled in school,Population 18 to 24 years,Population 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Males 18 to 24 years,Population 18 to 24 years!!Males 18 to 24 years!!Enrolled in college or graduate school,Population 18 to 24 years!!Females 18 to 24 years,Population 18 to 24 years!!Females 18 to 24 years!!Enrolled in college or graduate school
33,78730,74.9%,17.4%,78.8%,52.7%,82.0%,94.2%,71.5%,80.7%,100.0%,88.9%,72.3%,100.0%,(X),31.9%,(X),56.4%,(X),91.3%,(X),82.3%,(X),56.0%,(X),74.7%,(X),100.0%,(X),67.4%,(X),79.2%,(X),46.3%,(X),100.0%
34,78731,72.3%,25.3%,68.4%,80.6%,66.4%,61.7%,74.5%,94.8%,83.3%,88.8%,88.8%,88.7%,(X),28.5%,(X),65.9%,(X),67.9%,(X),70.6%,(X),82.9%,(X),93.8%,(X),85.6%,(X),86.3%,(X),93.9%,(X),93.7%,(X),94.1%
35,78732,86.7%,4.2%,96.0%,95.3%,90.7%,97.3%,97.8%,74.9%,100.0%,80.6%,43.5%,98.1%,(X),4.4%,(X),92.4%,(X),95.7%,(X),97.5%,(X),89.4%,(X),86.8%,(X),100.0%,(X),73.3%,(X),84.7%,(X),58.1%,(X),96.4%
36,78733,80.3%,31.7%,86.5%,57.5%,94.1%,83.4%,84.9%,76.7%,74.6%,75.7%,74.0%,78.9%,(X),31.7%,(X),91.7%,(X),84.6%,(X),85.9%,(X),70.3%,(X),84.6%,(X),47.5%,(X),87.2%,(X),79.1%,(X),76.7%,(X),84.6%
37,78734,84.3%,34.4%,92.3%,100.0%,82.6%,97.4%,98.4%,57.3%,46.1%,55.4%,66.8%,44.3%,(X),46.7%,(X),80.3%,(X),94.7%,(X),97.9%,(X),100.0%,(X),41.9%,(X),87.3%,(X),49.7%,(X),52.3%,(X),51.0%,(X),53.8%
38,78735,70.6%,38.0%,74.2%,82.3%,83.5%,53.3%,73.6%,78.0%,60.2%,73.4%,67.3%,80.0%,(X),30.6%,(X),81.6%,(X),64.2%,(X),68.8%,(X),79.1%,(X),82.1%,(X),52.6%,(X),100.0%,(X),80.8%,(X),71.9%,(X),88.1%
39,78736,81.8%,44.9%,86.1%,49.5%,86.2%,87.2%,92.2%,97.6%,0.0%,81.1%,78.8%,83.0%,(X),12.4%,(X),78.0%,(X),88.6%,(X),83.3%,(X),100.0%,(X),100.0%,(X),100.0%,(X),33.5%,(X),100.0%,(X),100.0%,(X),100.0%
40,78737,79.1%,33.7%,85.6%,83.7%,84.2%,82.0%,92.5%,87.3%,64.8%,80.2%,76.4%,86.1%,(X),53.0%,(X),72.5%,(X),85.1%,(X),93.1%,(X),91.3%,(X),66.7%,(X),100.0%,(X),75.7%,(X),77.4%,(X),72.5%,(X),85.0%
41,78738,85.5%,32.5%,93.4%,74.6%,95.9%,92.1%,95.3%,77.7%,34.6%,68.9%,100.0%,54.8%,(X),20.3%,(X),85.3%,(X),93.8%,(X),97.3%,(X),87.3%,(X),65.6%,(X),71.1%,(X),55.3%,(X),77.8%,(X),100.0%,(X),73.3%
42,78739,85.4%,38.0%,94.4%,92.7%,98.1%,95.6%,88.0%,85.0%,58.4%,76.0%,84.7%,66.7%,(X),44.1%,(X),90.1%,(X),95.0%,(X),89.1%,(X),82.2%,(X),78.5%,(X),87.9%,(X),65.6%,(X),82.2%,(X),87.3%,(X),61.6%
43,78741,90.3%,91.9%,94.3%,82.9%,94.7%,94.5%,97.8%,86.3%,90.0%,87.0%,86.6%,87.6%,(X),90.6%,(X),91.2%,(X),95.4%,(X),100.0%,(X),92.6%,(X),92.2%,(X),78.4%,(X),80.6%,(X),92.4%,(X),93.4%,(X),91.3%
44,78742,96.7%,65.0%,100.0%,-,100.0%,100.0%,100.0%,100.0%,-,100.0%,-,100.0%,(X),-,(X),88.7%,(X),100.0%,(X),100.0%,(X),100.0%,(X),-,(X),-,(X),100.0%,(X),-,(X),-,(X),-
45,78744,92.2%,86.1%,96.2%,100.0%,96.7%,96.3%,94.4%,78.9%,71.0%,77.0%,78.9%,75.1%,(X),86.9%,(X),96.8%,(X),95.4%,(X),94.3%,(X),90.7%,(X),78.0%,(X),79.8%,(X),81.5%,(X),74.9%,(X),81.4%,(X),67.3%
46,78745,88.4%,71.3%,93.1%,91.0%,92.8%,95.6%,89.8%,88.4%,80.6%,86.3%,93.3%,81.1%,(X),71.6%,(X),89.0%,(X),95.1%,(X),98.7%,(X),78.1%,(X),79.9%,(X),89.5%,(X),92.1%,(X),82.2%,(X),94.4%,(X),73.2%
47,78746,77.7%,21.8%,81.6%,86.7%,82.5%,84.0%,78.2%,77.9%,75.5%,77.2%,72.1%,81.2%,(X),22.3%,(X),82.4%,(X),84.4%,(X),82.1%,(X),67.0%,(X),67.0%,(X),85.9%,(X),72.9%,(X),76.2%,(X),55.7%,(X),89.2%
48,78747,85.6%,49.5%,95.9%,100.0%,98.6%,89.7%,97.1%,62.2%,59.4%,61.9%,62.8%,60.7%,(X),52.0%,(X),97.4%,(X),88.8%,(X),100.0%,(X),90.8%,(X),41.0%,(X),93.5%,(X),41.9%,(X),51.0%,(X),54.6%,(X),44.7%
49,78748,84.3%,61.7%,88.5%,85.0%,88.6%,83.3%,95.6%,88.8%,72.3%,83.6%,82.1%,84.9%,(X),62.1%,(X),87.8%,(X),84.3%,(X),90.4%,(X),97.9%,(X),84.5%,(X),87.2%,(X),79.0%,(X),88.4%,(X),90.4%,(X),86.1%
50,78749,81.1%,45.0%,85.6%,100.0%,78.6%,87.2%,89.8%,84.0%,72.1%,81.2%,79.6%,82.2%,(X),37.2%,(X),80.8%,(X),84.1%,(X),91.8%,(X),88.2%,(X),88.5%,(X),82.3%,(X),75.7%,(X),84.5%,(X),74.3%,(X),91.3%
51,78750,89.7%,50.9%,93.1%,61.6%,92.4%,94.9%,95.4%,94.9%,97.2%,95.8%,95.9%,95.7%,(X),52.8%,(X),86.6%,(X),95.7%,(X),96.2%,(X),89.1%,(X),98.4%,(X),96.0%,(X),91.2%,(X),98.8%,(X),100.0%,(X),98.0%
52,78751,93.2%,0.0%,83.7%,100.0%,100.0%,82.2%,72.9%,93.3%,97.2%,95.6%,94.2%,97.1%,(X),0.0%,(X),89.3%,(X),85.7%,(X),75.0%,(X),100.0%,(X),96.1%,(X),93.8%,(X),100.0%,(X),97.3%,(X),97.8%,(X),96.7%
53,78752,87.6%,42.4%,94.3%,86.4%,85.0%,98.3%,99.6%,90.2%,88.8%,89.7%,84.6%,92.8%,(X),32.5%,(X),86.3%,(X),95.5%,(X),99.5%,(X),94.0%,(X),97.3%,(X),92.6%,(X),67.4%,(X),94.7%,(X),93.9%,(X),95.1%
54,78753,88.4%,92.9%,89.0%,100.0%,79.9%,93.3%,93.4%,87.2%,79.2%,84.9%,83.4%,86.6%,(X),92.7%,(X),83.8%,(X),91.7%,(X),95.7%,(X),88.8%,(X),96.9%,(X),88.5%,(X),60.1%,(X),97.1%,(X),97.0%,(X),97.3%
55,78754,85.9%,65.9%,93.0%,77.9%,94.1%,94.2%,96.4%,80.2%,64.5%,75.2%,67.4%,82.4%,(X),59.2%,(X),88.3%,(X),95.8%,(X),94.9%,(X),97.1%,(X),100.0%,(X),54.5%,(X),73.0%,(X),99.2%,(X),98.6%,(X),100.0%
56,78756,65.4%,0.0%,61.1%,64.9%,40.4%,58.9%,88.3%,70.7%,78.0%,72.8%,79.9%,66.2%,(X),0.0%,(X),48.6%,(X),64.9%,(X),77.7%,(X),68.5%,(X),75.4%,(X),94.0%,(X),46.8%,(X),69.6%,(X),73.0%,(X),65.7%
57,78757,79.9%,34.3%,84.7%,88.2%,78.0%,84.5%,90.0%,83.7%,86.2%,84.8%,78.3%,89.0%,(X),36.6%,(X),78.1%,(X),84.3%,(X),87.8%,(X),100.0%,(X),69.5%,(X),97.2%,(X),75.5%,(X),73.8%,(X),62.0%,(X),81.8%
58,78758,89.5%,72.2%,92.7%,90.2%,92.3%,90.2%,97.0%,88.2%,80.7%,86.3%,80.9%,91.0%,(X),69.5%,(X),91.7%,(X),90.7%,(X),97.0%,(X),94.7%,(X),94.2%,(X),76.9%,(X),90.6%,(X),93.0%,(X),93.3%,(X),92.5%
59,78759,81.5%,14.4%,87.4%,90.7%,90.2%,81.2%,90.5%,88.5%,79.8%,85.6%,87.4%,83.7%,(X),9.1%,(X),85.9%,(X),83.1%,(X),89.7%,(X),92.0%,(X),95.1%,(X),84.8%,(X),75.0%,(X),93.4%,(X),95.2%,(X),91.7%
60,"Travis County, Texas",85.2%,53.5%,89.5%,87.4%,88.8%,89.3%,91.1%,84.1%,82.3%,83.7%,85.2%,82.3%,(X),51.0%,(X),86.9%,(X),89.2%,(X),92.2%,(X),84.9%,(X),86.2%,(X),85.5%,(X),75.2%,(X),85.5%,(X),87.1%,(X),84.0%
