,Zip Code,Total population,Total population AGE,Total population AGE Under 5 years,Total population AGE 5 to 9 years,Total population AGE 10 to 14 years,Total population AGE 15 to 19 years,Total population AGE 20 to 24 years,Total population AGE 25 to 29 years,Total population AGE 30 to 34 years,Total population AGE 35 to 39 years,Total population AGE 40 to 44 years,Total population AGE 45 to 49 years,Total population AGE 50 to 54 years,Total population AGE 55 to 59 years,Total population AGE 60 to 64 years,Total population AGE 65 to 69 years,Total population AGE 70 to 74 years,Total population AGE 75 to 79 years,Total population AGE 80 to 84 years,Total population AGE 85 years and over,Total population SELECTED AGE CATEGORIES,Total population SELECTED AGE CATEGORIES 5 to 14 years,Total population SELECTED AGE CATEGORIES 15 to 17 years,Total population SELECTED AGE CATEGORIES Under 18 years,Total population SELECTED AGE CATEGORIES 18 to 24 years,Total population SELECTED AGE CATEGORIES 15 to 44 years,Total population SELECTED AGE CATEGORIES 16 years and over,Total population SELECTED AGE CATEGORIES 18 years and over,Total population SELECTED AGE CATEGORIES 21 years and over,Total population SELECTED AGE CATEGORIES 60 years and over,Total population SELECTED AGE CATEGORIES 62 years and over,Total population SELECTED AGE CATEGORIES 65 years and over,Total population SELECTED AGE CATEGORIES 75 years and over,Total population SUMMARY INDICATORS,Total population SUMMARY INDICATORS Median age (years),Total population SUMMARY INDICATORS Sex ratio (males per 100 females),Total population SUMMARY INDICATORS Age dependency ratio,Total population SUMMARY INDICATORS Old-age dependency ratio,Total population SUMMARY INDICATORS Child dependency ratio,Total population PERCENT ALLOCATED,Total population PERCENT ALLOCATED Sex,Total population PERCENT ALLOCATED Age
10,        Estimate,(X),,5.8%,5.0%,4.8%,2.7%,3.0%,5.0%,9.5%,10.3%,3.2%,6.8%,8.2%,8.9%,7.1%,6.8%,5.3%,3.7%,1.4%,2.4%,,9.9%,2.7%,18.4%,3.0%,33.7%,83.9%,81.6%,81.1%,26.6%,24.3%,19.5%,7.4%,,(X),(X),(X),(X),(X),,0.0%,1.9%
11,        Estimate,(X),,11.0%,10.8%,7.7%,5.9%,3.5%,7.0%,11.3%,9.2%,6.0%,7.5%,4.1%,5.7%,5.1%,2.3%,1.5%,0.8%,0.3%,0.3%,,18.6%,4.6%,34.1%,4.9%,42.9%,69.7%,65.9%,63.6%,10.3%,7.4%,5.1%,1.4%,,(X),(X),(X),(X),(X),,0.1%,4.0%
12,        Estimate,(X),,3.6%,5.2%,7.8%,7.8%,4.0%,2.8%,4.1%,8.6%,4.8%,5.5%,4.4%,8.6%,9.0%,7.1%,5.9%,4.9%,3.1%,2.7%,,13.0%,5.4%,21.9%,6.4%,32.1%,81.9%,78.1%,74.0%,32.8%,28.5%,23.8%,10.7%,,(X),(X),(X),(X),(X),,0.0%,0.5%
13,        Estimate,(X),,6.2%,6.6%,10.0%,7.4%,4.3%,8.3%,8.3%,8.2%,8.9%,8.2%,6.8%,5.4%,4.2%,3.3%,1.6%,1.2%,0.6%,0.4%,,16.6%,5.0%,27.8%,6.7%,45.4%,75.9%,72.2%,68.9%,11.4%,9.4%,7.3%,2.3%,,(X),(X),(X),(X),(X),,0.0%,0.9%
14,        Estimate,(X),,0.4%,10.2%,0.5%,6.8%,2.2%,1.5%,1.4%,5.4%,1.3%,9.6%,9.2%,19.7%,11.1%,2.6%,13.2%,2.0%,1.0%,1.9%,,10.7%,2.8%,13.9%,6.1%,18.5%,88.6%,86.1%,82.1%,31.8%,28.1%,20.7%,5.0%,,(X),(X),(X),(X),(X),,0.0%,0.0%
15,        Estimate,(X),,5.5%,6.1%,6.6%,8.4%,7.0%,9.0%,8.2%,8.2%,8.4%,7.1%,7.1%,5.8%,4.8%,3.1%,2.1%,1.3%,0.6%,0.9%,,12.7%,5.5%,23.8%,9.8%,49.0%,80.2%,76.2%,71.9%,12.8%,10.8%,7.9%,2.8%,,(X),(X),(X),(X),(X),,0.0%,2.3%
16,        Estimate,(X),,8.2%,5.7%,6.6%,4.6%,1.7%,2.8%,6.6%,7.1%,7.0%,6.3%,9.5%,8.2%,8.4%,7.7%,5.0%,2.5%,1.3%,0.7%,,12.3%,3.2%,23.7%,3.2%,29.8%,79.0%,76.3%,74.8%,25.7%,22.5%,17.3%,4.5%,,(X),(X),(X),(X),(X),,0.0%,0.6%
17,        Estimate,(X),,1.3%,0.3%,0.5%,0.9%,8.3%,15.1%,17.2%,9.2%,9.4%,8.2%,5.0%,6.9%,7.0%,4.8%,3.1%,2.0%,0.7%,0.0%,,0.7%,0.1%,2.1%,9.1%,60.2%,98.0%,97.9%,95.7%,17.6%,12.2%,10.6%,2.7%,,(X),(X),(X),(X),(X),,0.0%,1.3%
18,        Estimate,(X),,5.9%,5.5%,3.2%,3.8%,5.3%,15.5%,15.1%,8.8%,7.7%,5.0%,5.9%,4.4%,3.7%,4.4%,2.0%,0.7%,1.2%,1.7%,,8.7%,2.6%,17.2%,6.6%,56.3%,84.6%,82.8%,80.3%,13.8%,12.5%,10.1%,3.7%,,(X),(X),(X),(X),(X),,0.0%,3.6%
19,        Estimate,(X),,5.7%,4.3%,5.6%,4.0%,2.7%,10.2%,11.0%,7.6%,9.5%,7.7%,4.3%,7.5%,7.2%,4.8%,4.3%,1.8%,1.2%,0.7%,,9.9%,2.3%,18.0%,4.3%,44.9%,83.8%,82.0%,80.4%,20.0%,17.8%,12.8%,3.7%,,(X),(X),(X),(X),(X),,0.0%,2.5%
20,        Estimate,(X),,4.6%,3.2%,2.8%,4.6%,8.7%,17.8%,12.6%,10.5%,7.3%,6.5%,4.9%,4.9%,3.2%,3.7%,1.8%,1.6%,0.6%,0.7%,,6.0%,1.9%,12.5%,11.4%,61.6%,89.0%,87.5%,83.6%,11.6%,10.2%,8.4%,2.9%,,(X),(X),(X),(X),(X),,0.1%,5.3%
21,        Estimate,(X),,0.5%,0.5%,0.5%,32.2%,44.5%,9.4%,4.3%,2.1%,1.4%,0.8%,0.7%,0.9%,0.8%,0.4%,0.4%,0.4%,0.1%,0.2%,,1.0%,0.8%,2.3%,75.8%,93.8%,98.5%,97.7%,50.4%,2.3%,1.8%,1.5%,0.6%,,(X),(X),(X),(X),(X),,0.0%,2.8%
22,        Estimate,(X),,0.0%,0.0%,0.0%,59.1%,38.0%,1.9%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,0.0%,2.1%,2.1%,94.9%,100.0%,100.0%,97.9%,18.9%,0.0%,0.0%,0.0%,0.0%,,(X),(X),(X),(X),(X),,0.0%,0.0%
23,        Estimate,(X),,5.2%,6.5%,4.7%,7.2%,4.7%,11.1%,7.7%,4.3%,7.0%,6.5%,5.2%,10.8%,4.5%,6.6%,3.6%,0.2%,2.6%,1.7%,,11.2%,4.3%,20.7%,7.5%,42.0%,82.6%,79.3%,76.1%,19.1%,16.9%,14.6%,4.4%,,(X),(X),(X),(X),(X),,0.0%,0.8%
24,        Estimate,(X),,4.7%,4.0%,5.9%,5.9%,7.0%,10.4%,11.8%,9.4%,10.4%,6.4%,5.6%,5.0%,3.3%,2.7%,1.6%,2.9%,1.3%,1.7%,,9.9%,3.6%,18.2%,9.3%,54.8%,84.5%,81.8%,78.6%,13.6%,11.4%,10.3%,5.9%,,(X),(X),(X),(X),(X),,0.0%,0.9%
25,        Estimate,(X),,5.0%,4.1%,2.0%,1.3%,4.7%,17.9%,12.8%,9.2%,9.2%,7.3%,2.8%,5.1%,7.6%,5.4%,1.9%,1.2%,0.8%,1.8%,,6.2%,0.3%,11.5%,5.8%,55.1%,88.8%,88.5%,86.9%,18.7%,14.9%,11.1%,3.8%,,(X),(X),(X),(X),(X),,0.0%,2.5%
26,        Estimate,(X),,7.9%,7.4%,4.6%,4.0%,3.9%,11.1%,10.6%,11.8%,7.7%,6.3%,5.0%,5.2%,4.1%,3.5%,3.4%,1.3%,0.9%,1.3%,,12.0%,2.4%,22.2%,5.5%,49.1%,79.1%,77.8%,75.6%,14.5%,12.3%,10.3%,3.4%,,(X),(X),(X),(X),(X),,0.2%,1.4%
27,        Estimate,(X),,10.7%,9.1%,10.3%,8.0%,7.8%,6.8%,9.6%,9.2%,7.7%,5.3%,5.2%,3.5%,2.1%,2.5%,0.8%,0.9%,0.3%,0.2%,,19.4%,5.6%,35.7%,10.2%,49.1%,67.4%,64.3%,59.9%,6.9%,6.3%,4.8%,1.5%,,(X),(X),(X),(X),(X),,0.1%,1.1%
28,        Estimate,(X),,6.2%,5.8%,6.6%,5.2%,2.2%,6.6%,10.0%,14.1%,8.7%,2.3%,6.3%,5.6%,9.7%,5.1%,2.7%,1.9%,0.9%,0.2%,,12.4%,3.8%,22.4%,3.6%,46.8%,79.6%,77.6%,76.0%,20.4%,17.9%,10.7%,3.0%,,(X),(X),(X),(X),(X),,0.0%,1.4%
29,        Estimate,(X),,5.5%,6.4%,7.1%,8.0%,5.5%,14.3%,7.4%,4.4%,8.5%,8.0%,9.2%,4.8%,3.8%,1.8%,2.8%,0.9%,1.5%,0.4%,,13.5%,5.3%,24.3%,8.1%,48.0%,79.5%,75.7%,72.2%,11.2%,10.1%,7.4%,2.8%,,(X),(X),(X),(X),(X),,0.0%,0.7%
30,        Estimate,(X),,7.2%,5.6%,3.1%,3.1%,3.9%,13.8%,11.8%,8.8%,8.1%,6.3%,6.5%,6.4%,6.3%,3.7%,2.3%,1.2%,0.9%,1.1%,,8.7%,2.0%,17.9%,5.0%,49.4%,83.2%,82.1%,80.6%,15.5%,12.7%,9.1%,3.2%,,(X),(X),(X),(X),(X),,0.0%,3.2%
31,        Estimate,(X),,8.0%,5.2%,5.2%,4.1%,5.0%,12.4%,10.1%,13.3%,8.7%,6.7%,6.6%,4.1%,3.8%,2.5%,2.0%,0.7%,0.5%,1.0%,,10.4%,2.8%,21.2%,6.3%,53.5%,81.1%,78.8%,76.3%,10.7%,8.8%,6.8%,2.3%,,(X),(X),(X),(X),(X),,0.0%,3.6%
32,        Estimate,(X),,6.9%,4.8%,4.0%,5.2%,5.5%,11.8%,11.4%,10.0%,7.8%,8.8%,6.3%,5.6%,3.2%,3.3%,2.3%,0.9%,1.4%,1.0%,,8.8%,2.4%,18.0%,8.3%,51.6%,83.4%,82.0%,78.7%,12.0%,10.4%,8.8%,3.2%,,(X),(X),(X),(X),(X),,0.0%,2.8%
33,        Estimate,(X),,5.6%,7.3%,8.4%,4.8%,1.4%,4.4%,8.2%,6.8%,7.6%,13.1%,7.3%,6.1%,5.1%,7.7%,4.1%,1.3%,0.8%,0.2%,,15.6%,3.3%,24.6%,2.8%,33.1%,77.9%,75.4%,73.3%,19.2%,17.1%,14.1%,2.3%,,(X),(X),(X),(X),(X),,0.0%,0.8%
34,        Estimate,(X),,4.7%,5.7%,4.6%,3.6%,5.7%,10.8%,9.0%,6.0%,6.4%,6.1%,4.8%,6.7%,8.0%,4.5%,4.1%,2.4%,1.5%,5.1%,,10.3%,2.6%,17.6%,6.7%,41.6%,83.9%,82.4%,81.3%,25.7%,22.2%,17.7%,9.1%,,(X),(X),(X),(X),(X),,0.0%,1.8%
35,        Estimate,(X),,6.7%,5.9%,11.9%,9.2%,7.2%,1.0%,4.9%,6.5%,8.4%,12.9%,10.3%,4.1%,3.6%,2.4%,1.4%,1.5%,0.8%,1.2%,,17.8%,8.5%,33.0%,7.9%,37.2%,74.2%,67.0%,64.4%,11.0%,9.0%,7.3%,3.6%,,(X),(X),(X),(X),(X),,0.0%,0.1%
36,        Estimate,(X),,5.3%,9.8%,11.5%,8.3%,1.0%,2.0%,1.5%,5.1%,10.1%,11.2%,7.1%,8.3%,4.8%,5.7%,5.6%,1.8%,0.4%,0.8%,,21.3%,6.5%,33.0%,2.8%,28.0%,70.9%,67.0%,64.8%,18.9%,16.7%,14.2%,2.9%,,(X),(X),(X),(X),(X),,0.0%,0.7%
37,        Estimate,(X),,3.7%,6.9%,7.1%,5.2%,2.0%,3.9%,4.3%,5.8%,7.3%,8.4%,8.9%,9.1%,8.4%,6.7%,6.3%,3.0%,1.6%,1.6%,,14.0%,4.0%,21.7%,3.2%,28.4%,80.9%,78.3%,76.7%,27.5%,24.3%,19.1%,6.1%,,(X),(X),(X),(X),(X),,0.0%,1.1%
38,        Estimate,(X),,6.7%,8.5%,4.6%,5.0%,3.8%,8.0%,9.7%,8.5%,5.4%,7.3%,5.9%,5.1%,6.0%,5.4%,4.1%,2.0%,1.9%,2.0%,,13.1%,3.4%,23.2%,5.3%,40.4%,79.2%,76.8%,74.8%,21.5%,19.9%,15.5%,5.9%,,(X),(X),(X),(X),(X),,0.0%,0.8%
39,        Estimate,(X),,4.1%,4.4%,7.7%,4.8%,6.3%,8.3%,5.8%,5.3%,9.0%,4.5%,12.3%,7.0%,7.8%,4.6%,3.6%,1.2%,1.6%,1.7%,,12.1%,2.1%,18.3%,8.9%,39.6%,83.0%,81.7%,79.1%,20.5%,16.2%,12.7%,4.5%,,(X),(X),(X),(X),(X),,0.6%,1.1%
40,        Estimate,(X),,6.3%,13.5%,9.5%,6.8%,2.3%,1.6%,3.8%,9.2%,10.1%,9.7%,5.8%,4.8%,4.6%,3.6%,3.7%,2.4%,0.6%,1.7%,,23.0%,5.2%,34.5%,3.9%,33.9%,68.2%,65.5%,62.9%,16.6%,14.9%,12.0%,4.7%,,(X),(X),(X),(X),(X),,0.0%,4.7%
41,        Estimate,(X),,3.7%,6.1%,9.1%,5.7%,2.0%,3.3%,7.0%,8.1%,7.5%,6.8%,8.2%,6.8%,7.3%,8.1%,5.0%,2.4%,1.5%,1.6%,,15.1%,4.6%,23.5%,3.0%,33.6%,79.0%,76.5%,75.1%,25.8%,23.3%,18.5%,5.4%,,(X),(X),(X),(X),(X),,0.2%,1.5%
42,        Estimate,(X),,7.8%,10.9%,7.5%,5.3%,2.0%,2.8%,5.8%,8.3%,11.4%,9.1%,8.4%,5.1%,5.7%,3.1%,3.1%,1.2%,1.0%,1.4%,,18.5%,4.6%,30.8%,2.7%,35.7%,71.8%,69.2%,67.9%,15.5%,13.4%,9.8%,3.6%,,(X),(X),(X),(X),(X),,0.3%,2.4%
43,        Estimate,(X),,5.4%,4.5%,3.8%,4.6%,15.4%,19.4%,13.6%,8.2%,5.2%,5.2%,3.4%,3.8%,3.1%,2.0%,1.1%,0.6%,0.3%,0.6%,,8.3%,2.2%,15.8%,17.8%,66.4%,85.9%,84.2%,79.0%,7.7%,6.7%,4.6%,1.5%,,(X),(X),(X),(X),(X),,0.0%,2.0%
44,        Estimate,(X),,7.7%,8.3%,5.7%,10.9%,5.3%,10.8%,4.7%,2.1%,5.4%,8.1%,2.8%,6.9%,6.5%,4.6%,1.1%,2.7%,3.0%,3.2%,,14.1%,9.1%,30.9%,7.1%,39.3%,73.1%,69.1%,67.3%,21.2%,18.7%,14.6%,8.9%,,(X),(X),(X),(X),(X),,0.0%,2.9%
45,        Estimate,(X),,7.0%,7.6%,8.2%,7.2%,6.7%,10.0%,10.1%,9.3%,7.6%,6.2%,6.2%,4.2%,3.4%,2.3%,1.1%,1.7%,0.9%,0.3%,,15.7%,4.5%,27.3%,9.4%,50.9%,75.5%,72.7%,68.6%,9.8%,8.6%,6.4%,2.9%,,(X),(X),(X),(X),(X),,0.0%,1.8%
46,        Estimate,(X),,6.2%,4.1%,4.3%,2.3%,5.9%,12.8%,10.5%,9.7%,7.7%,6.5%,4.5%,7.0%,5.7%,4.6%,4.2%,1.8%,1.0%,1.2%,,8.4%,1.3%,15.9%,6.9%,48.9%,84.9%,84.1%,82.5%,18.4%,15.9%,12.7%,4.0%,,(X),(X),(X),(X),(X),,0.3%,7.4%
47,        Estimate,(X),,4.0%,6.3%,8.6%,8.4%,3.3%,5.5%,4.5%,5.7%,7.4%,10.0%,6.9%,7.5%,6.5%,5.4%,4.1%,2.8%,1.6%,1.3%,,14.9%,6.0%,25.0%,5.7%,34.9%,79.0%,75.0%,72.0%,21.7%,19.2%,15.2%,5.7%,,(X),(X),(X),(X),(X),,0.2%,0.8%
48,        Estimate,(X),,5.8%,7.7%,5.9%,6.0%,5.7%,8.5%,9.3%,7.4%,7.7%,9.4%,3.7%,6.1%,5.5%,4.9%,2.9%,1.4%,0.7%,1.5%,,13.6%,4.3%,23.8%,7.3%,44.5%,79.7%,76.2%,73.4%,16.8%,14.8%,11.4%,3.6%,,(X),(X),(X),(X),(X),,0.0%,2.7%
49,        Estimate,(X),,8.1%,5.8%,4.3%,4.5%,4.8%,10.4%,11.5%,10.8%,7.8%,6.9%,5.0%,6.0%,4.9%,4.0%,2.3%,1.5%,0.6%,0.8%,,10.1%,3.3%,21.5%,6.1%,49.8%,80.7%,78.5%,76.6%,14.1%,11.4%,9.2%,2.8%,,(X),(X),(X),(X),(X),,0.1%,8.6%
50,        Estimate,(X),,4.9%,6.0%,6.9%,4.2%,3.9%,6.0%,9.2%,8.0%,8.2%,7.1%,9.1%,6.6%,7.4%,6.3%,3.0%,1.5%,0.8%,0.9%,,12.9%,2.8%,20.6%,5.2%,39.4%,81.4%,79.4%,77.2%,20.0%,17.7%,12.6%,3.2%,,(X),(X),(X),(X),(X),,0.0%,4.1%
51,        Estimate,(X),,5.6%,6.6%,7.9%,4.7%,3.7%,7.1%,9.1%,8.4%,8.8%,7.1%,6.0%,6.5%,4.7%,5.5%,3.5%,2.3%,1.1%,1.4%,,14.5%,3.6%,23.8%,4.9%,41.9%,78.6%,76.2%,74.6%,18.4%,16.5%,13.7%,4.7%,,(X),(X),(X),(X),(X),,0.0%,1.4%
52,        Estimate,(X),,2.4%,0.9%,2.0%,2.3%,15.1%,29.2%,14.6%,8.8%,5.2%,4.8%,3.7%,3.1%,2.5%,2.1%,1.8%,0.6%,0.1%,0.8%,,2.9%,1.2%,6.5%,16.2%,75.2%,94.3%,93.5%,91.2%,7.8%,7.0%,5.3%,1.5%,,(X),(X),(X),(X),(X),,0.0%,0.9%
53,        Estimate,(X),,7.5%,3.5%,4.5%,5.5%,8.9%,15.1%,11.6%,8.6%,6.9%,5.5%,4.7%,6.6%,2.2%,2.9%,2.1%,1.8%,1.5%,0.6%,,8.0%,3.6%,19.0%,10.9%,56.5%,83.2%,81.0%,78.7%,11.2%,10.4%,8.9%,3.9%,,(X),(X),(X),(X),(X),,0.0%,2.9%
54,        Estimate,(X),,7.4%,7.2%,7.4%,5.3%,5.9%,10.6%,12.6%,8.3%,8.5%,5.4%,5.2%,5.2%,3.9%,2.7%,2.0%,1.2%,0.4%,0.8%,,14.6%,3.1%,25.2%,8.1%,51.1%,77.1%,74.8%,71.5%,11.1%,9.9%,7.2%,2.4%,,(X),(X),(X),(X),(X),,0.0%,1.1%
55,        Estimate,(X),,9.3%,7.8%,5.7%,4.7%,6.3%,9.4%,10.6%,10.5%,8.7%,4.7%,5.2%,3.5%,4.4%,4.1%,1.6%,1.4%,0.8%,1.2%,,13.5%,3.3%,26.1%,7.7%,50.1%,76.3%,73.9%,71.6%,13.5%,11.6%,9.2%,3.4%,,(X),(X),(X),(X),(X),,0.0%,2.0%
56,        Estimate,(X),,3.0%,3.5%,3.5%,5.9%,5.3%,14.9%,16.0%,11.0%,6.5%,6.3%,4.5%,4.3%,5.1%,3.1%,2.4%,2.0%,0.4%,2.2%,,7.0%,1.5%,11.4%,9.7%,59.5%,89.6%,88.6%,83.0%,15.3%,12.3%,10.2%,4.6%,,(X),(X),(X),(X),(X),,0.0%,0.8%
57,        Estimate,(X),,6.3%,5.3%,7.2%,4.7%,3.2%,8.5%,11.0%,10.3%,6.8%,7.9%,6.0%,4.4%,6.6%,4.1%,2.5%,1.3%,1.7%,2.4%,,12.4%,3.9%,22.7%,4.0%,44.5%,79.1%,77.3%,76.0%,18.5%,15.9%,12.0%,5.4%,,(X),(X),(X),(X),(X),,0.0%,1.6%
58,        Estimate,(X),,8.3%,5.3%,5.6%,4.6%,6.4%,12.9%,14.3%,8.5%,7.1%,4.9%,5.7%,4.7%,4.3%,2.8%,1.9%,1.1%,0.6%,0.9%,,10.9%,2.5%,21.8%,8.5%,53.9%,80.0%,78.2%,75.7%,11.6%,9.7%,7.2%,2.6%,,(X),(X),(X),(X),(X),,0.0%,2.3%
59,        Estimate,(X),,5.8%,4.8%,4.8%,4.1%,4.8%,9.1%,11.3%,8.5%,6.5%,7.3%,7.2%,6.6%,4.6%,4.4%,3.5%,2.7%,1.6%,2.3%,,9.6%,2.6%,17.9%,6.3%,44.4%,84.0%,82.1%,80.2%,19.2%,17.7%,14.6%,6.7%,,(X),(X),(X),(X),(X),,0.0%,1.5%
60,        Estimate,(X),,6.2%,5.8%,6.2%,6.0%,6.6%,10.1%,10.0%,8.5%,7.6%,6.9%,5.9%,5.5%,4.9%,3.8%,2.6%,1.5%,0.9%,1.1%,,12.0%,3.4%,21.6%,9.1%,48.7%,80.7%,78.4%,74.5%,14.7%,12.7%,9.8%,3.5%,,(X),(X),(X),(X),(X),,0.1%,2.6%
