"Label (Grouping)","Population 16 years and over","Population 16 years and over!!AGE","Population 16 years and over!!AGE!!16 to 19 years","Population 16 years and over!!AGE!!20 to 24 years","Population 16 years and over!!AGE!!25 to 29 years","Population 16 years and over!!AGE!!30 to 34 years","Population 16 years and over!!AGE!!35 to 44 years","Population 16 years and over!!AGE!!45 to 54 years","Population 16 years and over!!AGE!!55 to 59 years","Population 16 years and over!!AGE!!60 to 64 years","Population 16 years and over!!AGE!!65 to 74 years","Population 16 years and over!!AGE!!75 years and over","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Black or African American alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!American Indian and Alaska Native alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Asian alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Native Hawaiian and Other Pacific Islander alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Some other race alone","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Two or more races","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!Hispanic or Latino origin (of any race)","Population 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!White alone, not Hispanic or Latino","Population 20 to 64 years","Population 20 to 64 years!!SEX","Population 20 to 64 years!!SEX!!Male","Population 20 to 64 years!!SEX!!Female","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years only","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children under 6 years and 6 to 17  years","Population 20 to 64 years!!SEX!!Female!!With own children under 18 years!!With own children 6 to 17 years only","Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS","Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!Below poverty level","Population 20 to 64 years!!POVERTY STATUS IN THE PAST 12 MONTHS!!At or above the poverty level","Population 20 to 64 years!!DISABILITY STATUS","Population 20 to 64 years!!DISABILITY STATUS!!With any disability","EDUCATIONAL ATTAINMENT","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Less than high school graduate","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Some college or associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 to 64 years!!Bachelor's degree or higher"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","53.3%","","15.5%","74.2%","53.7%","52.5%","72.7%","71.5%","79.9%","43.8%","24.7%","0.0%","","55.8%","44.3%","47.8%","21.8%","-","58.7%","44.4%","52.3%","56.1%","65.7%","","79.9%","52.6%","47.8%","68.4%","37.9%","43.3%","","49.8%","67.9%","","31.1%","","64.9%","47.5%","76.1%","66.9%","67.2%"
"        Margin of Error","±4.7","","±8.4","±20.6","±19.1","±17.2","±10.7","±10.5","±11.5","±16.2","±10.2","±10.4","","±5.1","±16.8","±14.9","±9.4","**","±7.2","±18.9","±7.4","±6.2","±5.4","","±7.7","±9.1","±13.5","±19.4","±27.0","±19.3","","±13.0","±5.5","","±15.9","","±5.3","±12.7","±10.1","±9.6","±10.9"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5.9%","","27.3%","0.0%","4.6%","24.5%","0.0%","5.7%","0.0%","7.8%","0.0%","-","","2.6%","8.8%","0.0%","78.2%","-","4.5%","0.0%","3.5%","2.2%","5.2%","","2.1%","9.3%","0.0%","0.0%","0.0%","0.0%","","0.0%","5.7%","","0.0%","","5.8%","0.0%","3.3%","0.0%","19.9%"
"        Margin of Error","±3.2","","±32.3","±7.9","±9.7","±18.9","±2.8","±5.4","±5.5","±11.9","±13.5","**","","±2.6","±9.6","±74.4","±9.4","**","±5.4","±6.6","±3.5","±2.6","±3.2","","±2.5","±6.7","±4.6","±14.2","±27.7","±8.3","","±8.4","±3.6","","±13.6","","±3.5","±5.3","±4.2","±2.8","±11.7"
"ZCTA5 78613","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63,739","","4,537","3,969","5,596","6,893","14,657","12,014","4,657","3,456","4,877","3,083","","50,807","1,964","205","5,651","185","1,586","3,341","12,414","41,830","51,242","","25,186","26,056","11,840","2,393","1,963","7,484","","2,351","48,862","","4,274","","47,273","1,517","6,921","14,632","24,203"
"        Margin of Error","±1,585","","±641","±873","±846","±729","±1,031","±951","±544","±541","±502","±501","","±1,910","±628","±160","±755","±210","±695","±703","±1,208","±1,879","±1,666","","±1,054","±1,129","±684","±473","±340","±699","","±623","±1,877","","±778","","±1,334","±450","±783","±1,337","±1,181"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","71.4%","","33.7%","74.0%","89.4%","88.8%","83.2%","86.8%","79.2%","64.3%","24.4%","7.3%","","71.3%","69.8%","68.3%","66.5%","75.7%","75.2%","81.4%","73.5%","70.8%","83.1%","","90.4%","76.1%","68.9%","62.5%","55.2%","74.5%","","63.2%","84.1%","","63.4%","","83.9%","68.3%","74.6%","83.9%","87.5%"
"        Margin of Error","±1.8","","±5.6","±5.9","±4.5","±3.2","±3.2","±3.0","±5.2","±8.4","±5.1","±3.7","","±1.8","±14.6","±30.0","±5.0","±5.1","±8.1","±6.2","±3.5","±1.9","±1.7","","±2.2","±2.6","±3.8","±13.5","±8.8","±3.6","","±12.2","±1.5","","±8.3","","±1.7","±11.6","±6.2","±3.1","±1.8"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","68.2%","","30.7%","60.4%","78.0%","87.3%","81.0%","85.6%","76.0%","63.3%","23.7%","7.3%","","68.6%","59.1%","68.3%","63.1%","75.7%","65.8%","76.5%","70.8%","67.9%","79.4%","","88.0%","71.0%","67.5%","61.8%","54.9%","72.6%","","51.0%","80.8%","","58.2%","","81.0%","67.9%","70.5%","80.4%","85.1%"
"        Margin of Error","±1.6","","±5.9","±10.3","±6.4","±3.3","±3.2","±2.9","±5.6","±8.3","±5.0","±3.7","","±1.7","±11.8","±30.0","±5.2","±5.1","±11.8","±8.4","±4.1","±1.9","±1.8","","±2.2","±2.5","±3.8","±13.4","±8.9","±3.7","","±13.0","±1.8","","±8.2","","±1.8","±11.7","±6.5","±3.2","±2.0"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4.5%","","8.8%","17.8%","12.7%","1.8%","2.5%","1.3%","4.0%","1.6%","2.6%","0.0%","","3.7%","15.3%","0.0%","5.2%","0.0%","12.4%","6.1%","3.7%","3.9%","4.4%","","2.6%","6.6%","2.1%","1.2%","0.6%","2.6%","","19.2%","3.9%","","8.2%","","3.5%","0.6%","5.5%","4.2%","2.7%"
"        Margin of Error","±1.3","","±5.7","±11.4","±6.0","±1.2","±2.0","±0.7","±2.6","±1.2","±3.1","±18.1","","±1.3","±9.8","±26.9","±5.0","±26.9","±15.8","±7.1","±2.9","±1.6","±1.4","","±0.9","±2.6","±1.3","±1.9","±1.1","±1.8","","±11.2","±1.4","","±4.3","","±1.1","±0.9","±4.6","±2.1","±1.4"
"ZCTA5 78615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","903","","73","55","97","114","110","128","68","70","103","85","","730","0","60","0","0","37","76","340","557","642","","348","294","162","11","72","79","","25","617","","100","","587","73","156","252","106"
"        Margin of Error","±279","","±100","±60","±78","±130","±58","±55","±63","±36","±47","±51","","±213","±14","±96","±14","±14","±42","±115","±239","±134","±253","","±156","±108","±76","±11","±69","±39","","±27","±248","","±51","","±227","±75","±90","±121","±52"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","67.6%","","90.4%","83.6%","71.1%","100.0%","98.2%","75.0%","64.7%","50.0%","29.1%","2.4%","","62.3%","-","100.0%","-","-","62.2%","94.7%","90.6%","53.9%","79.8%","","83.9%","74.8%","88.3%","100.0%","98.6%","77.2%","","8.0%","82.7%","","70.0%","","79.4%","87.7%","75.0%","77.4%","84.9%"
"        Margin of Error","±10.7","","±30.1","±24.2","±20.9","±31.4","±2.6","±15.5","±37.6","±26.7","±21.2","±6.9","","±10.3","**","±45.1","**","**","±59.5","±20.8","±10.2","±8.2","±9.5","","±10.6","±12.2","±11.8","±100.0","±3.3","±20.6","","±18.5","±9.0","","±18.1","","±9.9","±18.5","±16.7","±15.5","±15.5"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","64.2%","","86.3%","83.6%","64.9%","100.0%","98.2%","75.0%","33.8%","50.0%","29.1%","2.4%","","58.2%","-","100.0%","-","-","62.2%","94.7%","90.6%","48.5%","75.5%","","77.9%","72.8%","88.3%","100.0%","98.6%","77.2%","","8.0%","78.3%","","70.0%","","74.8%","87.7%","75.0%","75.0%","65.1%"
"        Margin of Error","±10.0","","±36.8","±24.2","±25.5","±31.4","±2.6","±15.5","±16.8","±26.7","±21.2","±6.9","","±8.5","**","±45.1","**","**","±59.5","±20.8","±10.2","±8.5","±8.7","","±11.0","±12.8","±11.8","±100.0","±3.3","±20.6","","±18.5","±8.5","","±18.1","","±8.9","±18.5","±16.7","±16.4","±28.3"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4.9%","","4.5%","0.0%","8.7%","0.0%","0.0%","0.0%","47.7%","0.0%","0.0%","0.0%","","6.6%","-","0.0%","-","-","0.0%","0.0%","0.0%","10.0%","5.3%","","7.2%","2.7%","0.0%","0.0%","0.0%","0.0%","","0.0%","5.3%","","0.0%","","5.8%","0.0%","0.0%","3.1%","23.3%"
"        Margin of Error","±5.4","","±15.2","±51.5","±14.5","±31.4","±32.7","±35.3","±33.5","±59.0","±63.7","±100.0","","±6.7","**","±45.1","**","**","±72.8","±41.1","±13.6","±12.0","±6.0","","±10.6","±4.1","±26.5","±100.0","±41.4","±44.7","","±100.0","±6.0","","±41.7","","±6.5","±43.6","±30.9","±5.0","±33.4"
"ZCTA5 78617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,769","","2,147","2,490","2,433","2,046","4,889","4,050","1,224","1,220","1,005","265","","8,776","1,739","90","302","0","9,633","1,229","15,384","4,180","18,352","","10,270","8,082","3,551","545","864","2,142","","1,812","14,223","","1,238","","15,862","4,598","5,655","3,640","1,969"
"        Margin of Error","±1,940","","±408","±684","±863","±534","±821","±707","±328","±479","±306","±124","","±1,469","±337","±46","±271","±26","±1,808","±800","±1,853","±1,006","±1,682","","±1,148","±735","±544","±416","±218","±427","","±487","±1,619","","±422","","±1,313","±863","±1,027","±631","±567"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","67.1%","","31.0%","73.0%","75.0%","64.3%","74.8%","74.4%","75.4%","75.7%","46.4%","0.0%","","63.3%","54.1%","16.7%","87.1%","-","71.8%","74.9%","71.6%","58.1%","73.4%","","75.1%","71.3%","74.7%","71.6%","74.2%","75.8%","","55.3%","87.7%","","72.9%","","73.5%","66.9%","72.3%","74.3%","90.6%"
"        Margin of Error","±2.8","","±9.5","±9.3","±9.9","±10.0","±5.8","±9.2","±8.5","±13.9","±15.2","±15.6","","±4.4","±8.9","±28.1","±23.2","**","±3.8","±19.6","±3.0","±9.5","±3.1","","±3.4","±6.4","±7.1","±27.7","±11.8","±9.1","","±8.7","±3.4","","±12.9","","±3.7","±8.2","±5.8","±5.6","±6.5"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63.2%","","26.9%","67.8%","60.9%","63.5%","72.7%","74.0%","73.6%","67.0%","43.8%","0.0%","","59.4%","53.9%","16.7%","83.8%","-","66.8%","73.8%","67.9%","51.6%","69.4%","","72.8%","65.1%","67.4%","29.0%","71.1%","75.8%","","46.1%","83.7%","","72.1%","","69.7%","64.1%","65.9%","72.4%","88.6%"
"        Margin of Error","±2.9","","±8.9","±10.5","±9.3","±10.3","±6.0","±9.3","±9.3","±14.6","±15.4","±15.6","","±4.3","±9.0","±28.1","±26.1","**","±3.7","±20.3","±3.0","±7.9","±3.1","","±3.6","±5.3","±8.9","±28.8","±12.7","±9.1","","±10.1","±3.3","","±13.1","","±3.3","±7.8","±5.3","±6.2","±6.8"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5.5%","","13.2%","7.1%","18.8%","1.2%","1.6%","0.3%","2.4%","11.6%","5.6%","-","","6.0%","0.3%","0.0%","3.8%","-","6.4%","1.5%","4.7%","11.1%","5.1%","","2.4%","8.7%","9.8%","59.5%","4.2%","0.0%","","16.6%","4.2%","","1.1%","","4.8%","2.7%","8.9%","2.6%","2.2%"
"        Margin of Error","±3.0","","±13.0","±6.9","±16.2","±2.1","±1.8","±0.8","±4.1","±9.4","±9.0","**","","±6.3","±0.7","±90.1","±9.8","**","±2.9","±2.7","±1.9","±12.9","±3.2","","±1.4","±6.7","±12.5","±52.6","±6.4","±2.7","","±11.9","±3.0","","±2.6","","±3.4","±3.3","±8.1","±2.7","±2.5"
"ZCTA5 78620","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,543","","1,112","1,097","499","553","2,810","2,775","2,065","1,258","1,763","611","","13,547","124","16","192","19","146","499","2,185","11,698","11,057","","5,681","5,376","2,250","435","375","1,440","","611","10,438","","502","","9,960","709","1,461","2,533","5,257"
"        Margin of Error","±1,112","","±251","±410","±199","±172","±475","±468","±367","±225","±269","±162","","±1,079","±141","±26","±122","±38","±132","±291","±601","±1,007","±989","","±609","±514","±363","±151","±136","±312","","±275","±978","","±152","","±816","±214","±319","±418","±615"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","68.8%","","43.5%","90.0%","95.6%","85.5%","84.4%","81.5%","80.9%","54.7%","31.6%","4.4%","","69.0%","97.6%","0.0%","61.5%","100.0%","61.0%","59.7%","74.1%","67.8%","80.8%","","91.7%","69.2%","70.1%","80.0%","46.7%","73.3%","","44.5%","83.0%","","53.4%","","79.8%","72.5%","69.8%","79.9%","83.5%"
"        Margin of Error","±3.2","","±9.5","±7.9","±4.9","±9.9","±5.9","±5.3","±6.2","±10.8","±7.6","±3.3","","±3.2","±6.8","±87.2","±16.0","±80.1","±25.1","±17.1","±10.3","±3.3","±3.1","","±2.8","±5.1","±8.6","±13.2","±20.6","±8.9","","±18.2","±2.9","","±16.7","","±3.1","±15.9","±11.0","±5.4","±3.4"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","66.8%","","38.1%","89.0%","93.6%","84.4%","82.4%","77.9%","80.5%","53.5%","30.3%","4.4%","","67.0%","97.6%","0.0%","61.5%","100.0%","61.0%","58.3%","70.3%","66.1%","78.9%","","89.5%","67.7%","68.4%","80.0%","46.7%","70.5%","","37.6%","81.4%","","53.4%","","77.8%","63.9%","69.3%","77.5%","82.2%"
"        Margin of Error","±3.4","","±9.7","±8.1","±6.2","±9.8","±6.3","±5.6","±6.2","±10.7","±7.6","±3.3","","±3.4","±6.8","±87.2","±16.0","±80.1","±25.1","±17.8","±11.7","±3.4","±3.4","","±3.4","±5.1","±8.7","±13.2","±20.6","±9.2","","±18.4","±3.1","","±16.7","","±3.3","±21.3","±10.9","±5.4","±3.5"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2.9%","","12.4%","1.1%","2.1%","1.3%","2.4%","4.5%","0.5%","2.2%","3.9%","0.0%","","3.0%","0.0%","-","0.0%","0.0%","0.0%","2.3%","5.1%","2.5%","2.3%","","2.4%","2.2%","2.5%","0.0%","0.0%","3.8%","","15.4%","1.9%","","0.0%","","2.5%","11.9%","0.7%","3.0%","1.6%"
"        Margin of Error","±1.3","","±12.8","±2.0","±3.2","±2.3","±2.1","±2.6","±0.9","±3.4","±6.1","±67.2","","±1.4","±30.1","**","±30.7","±80.1","±36.9","±4.4","±5.5","±1.2","±1.1","","±1.6","±1.1","±2.3","±12.1","±22.4","±3.5","","±16.4","±1.0","","±15.4","","±1.2","±16.4","±1.2","±2.1","±0.9"
"ZCTA5 78621","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,644","","869","1,368","1,454","1,488","3,736","2,890","1,601","1,804","2,400","1,034","","11,703","2,668","7","122","0","3,479","665","6,870","8,689","14,341","","6,883","7,458","2,828","431","683","1,714","","1,152","13,182","","1,702","","12,973","2,532","4,117","3,965","2,359"
"        Margin of Error","±1,250","","±251","±389","±390","±426","±584","±407","±361","±402","±435","±240","","±1,178","±497","±12","±94","±26","±1,063","±294","±1,035","±869","±1,041","","±642","±637","±495","±113","±193","±451","","±365","±1,095","","±412","","±969","±584","±717","±529","±461"
"    Labor Force Participation Rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","67.9%","","44.8%","87.4%","90.8%","79.8%","90.4%","84.3%","73.5%","54.4%","21.1%","8.4%","","64.6%","68.5%","100.0%","82.0%","-","82.7%","43.2%","74.5%","63.6%","81.4%","","89.6%","73.9%","75.1%","81.0%","86.4%","69.2%","","54.7%","83.8%","","57.0%","","80.8%","69.7%","79.1%","84.2%","89.9%"
"        Margin of Error","±2.9","","±15.5","±7.9","±8.4","±9.3","±4.3","±7.0","±10.0","±10.7","±8.4","±6.3","","±3.7","±8.0","±100.0","±17.2","**","±5.8","±21.4","±4.7","±4.5","±2.7","","±3.6","±4.7","±6.3","±12.4","±9.8","±10.1","","±12.8","±2.9","","±12.5","","±2.9","±8.8","±5.4","±5.1","±4.6"
"    Employment/Population Ratio","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63.3%","","38.7%","74.1%","88.4%","62.6%","88.9%","81.3%","66.8%","50.7%","20.3%","8.4%","","62.1%","53.9%","100.0%","74.6%","-","79.5%","34.0%","71.9%","60.6%","75.9%","","81.2%","71.0%","72.3%","81.0%","83.3%","65.8%","","37.6%","79.3%","","32.3%","","76.1%","66.4%","75.9%","79.8%","80.5%"
"        Margin of Error","±3.4","","±16.4","±14.4","±8.8","±14.3","±4.8","±6.8","±10.0","±10.6","±8.4","±6.3","","±3.6","±11.1","±100.0","±23.5","**","±7.1","±22.6","±5.2","±4.4","±3.5","","±5.7","±4.7","±6.5","±12.4","±10.6","±10.2","","±11.1","±3.6","","±12.7","","±3.6","±8.9","±6.2","±5.8","±11.0"
"    Unemployment rate","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
